population,TAT50_mean,TAT50_median,TAT50_IQR,TAT50_SD
All,0.41310929328045937,0,0.92814269178969655,0.4620907056960066
Bo,0.43088194531884,0.15021781497191333,0.9244466639510398,0.4506113907895846
Mave,0.4166230114209239,0.023804097314615812,0.9200158567566337,0.45281560838648655
Tess,0.41514731622725554,0,0.9327256830380156,0.4647978732113954
