population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,238.15722222222223,83.5,228.5,511.65075001633215
Bo,178.41,85.25,178,475.60258681965115
Mave,228.20166666666665,107,228.5,439.4963154425096
Tess,273.3232810615199,87,230,695.1549803400945
