replica,network,population,sigma,true_model,modelcompare,base_SS,agent_away,agent_total,stickiness_overall
49,None,All,0.2,2,AIC,100,723,6072,0.8809288537549407
50,None,All,0.2,2,AIC,100,773,6077,0.8727990784926773
1,None,All,0.2,7,AIC,100,332,6138,0.9459107201042685
2,None,All,0.2,7,AIC,100,341,6446,0.947098976109215
3,None,All,0.2,7,AIC,100,333,6616,0.9496674727932285
4,None,All,0.2,7,AIC,100,434,3800,0.8857894736842106
5,None,All,0.2,7,AIC,100,359,6730,0.9466567607726597
6,None,All,0.2,7,AIC,100,352,6315,0.9442596991290578
7,None,All,0.2,7,AIC,100,345,6102,0.9434611602753196
8,None,All,0.2,7,AIC,100,361,6130,0.9411092985318108
9,None,All,0.2,7,AIC,100,357,6152,0.9419700910273082
10,None,All,0.2,7,AIC,100,342,6514,0.947497697267424
11,None,All,0.2,7,AIC,100,344,6228,0.9447655748233783
12,None,All,0.2,7,AIC,100,352,6616,0.9467956469165659
13,None,All,0.2,7,AIC,100,353,6477,0.9454994596263703
14,None,All,0.2,7,AIC,100,373,6446,0.942134657151722
15,None,All,0.2,7,AIC,100,369,6319,0.9416046842854882
16,None,All,0.2,7,AIC,100,343,6383,0.9462635124549584
17,None,All,0.2,7,AIC,100,358,6090,0.9412151067323481
18,None,All,0.2,7,AIC,100,334,6266,0.946696457069901
19,None,All,0.2,7,AIC,100,363,6546,0.9445462878093492
20,None,All,0.2,7,AIC,100,347,6156,0.943632228719948
21,None,All,0.2,7,AIC,100,356,6373,0.9441393378314765
22,None,All,0.2,7,AIC,100,354,5917,0.9401723846543857
23,None,All,0.2,7,AIC,100,355,6346,0.9440592499212102
24,None,All,0.2,7,AIC,100,374,5989,0.9375521789948238
25,None,All,0.2,7,AIC,100,350,6334,0.9447426586675087
26,None,All,0.2,7,AIC,100,332,6010,0.9447587354409318
27,None,All,0.2,7,AIC,100,343,6479,0.9470597314400371
28,None,All,0.2,7,AIC,100,307,6766,0.9546260715341413
29,None,All,0.2,7,AIC,100,350,6329,0.9446990045820824
30,None,All,0.2,7,AIC,100,331,6499,0.9490690875519311
31,None,All,0.2,7,AIC,100,362,6225,0.9418473895582329
32,None,All,0.2,7,AIC,100,355,6590,0.9461305007587253
33,None,All,0.2,7,AIC,100,339,6364,0.9467316153362665
34,None,All,0.2,7,AIC,100,361,6130,0.9411092985318108
35,None,All,0.2,7,AIC,100,369,6606,0.944141689373297
36,None,All,0.2,7,AIC,100,614,3762,0.8367889420521
37,None,All,0.2,7,AIC,100,361,6483,0.9443159031312663
38,None,All,0.2,7,AIC,100,352,6311,0.9442243701473617
39,None,All,0.2,7,AIC,100,310,5926,0.9476881538980763
40,None,All,0.2,7,AIC,100,354,6102,0.9419862340216323
41,None,All,0.2,7,AIC,100,368,6514,0.9435062941357077
42,None,All,0.2,7,AIC,100,361,6139,0.9411956344681545
43,None,All,0.2,7,AIC,100,359,6752,0.9468305687203792
44,None,All,0.2,7,AIC,100,365,6655,0.9451540195341849
45,None,All,0.2,7,AIC,100,339,6747,0.9497554468652735
46,None,All,0.2,7,AIC,100,362,6506,0.9443590531816785
47,None,All,0.2,7,AIC,100,355,6139,0.94217299234403
48,None,All,0.2,7,AIC,100,374,6752,0.9446090047393365
49,None,All,0.2,7,AIC,100,336,6663,0.9495722647456101
50,None,All,0.2,7,AIC,100,309,1683,0.8163992869875223
1,None,All,0.2,13,AIC,20,260,9061,0.9713055954088953
