"network","population","TAT_median","TAT_mean","TAT_IQR","TAT_SD"
"Small","All",0.120025925431287,0.150755618979356,0.235225797056124,0.123787886211899
"Small","Bo",0.0126321043624463,0.012773488393741,0.00783389329835457,0.00527339139796619
"Small","Mave",0.197334958856792,0.254623954562468,0.365595936383194,0.202176095539996
"Small","Tess",0.0760768334577143,0.168481990057144,0.204957249731532,0.222178469844375
