"network","population","TAT_median","TAT_mean","TAT_IQR","TAT50_median","TAT50_mean","TAT50_IQR"
"Lattice","All",0.291006004610786,0.246756515605516,0.29131849167281,0,0.0568727401769573,0
"Lattice","Bo",0.0423278900464795,0.0490647908117678,0.0349162636863986,0,0,0
"Lattice","Mave",0.59688035964004,0.472559377362561,0.667805058665743,0.842246869634284,0.483832053520813,0.901357287587833
"Lattice","Tess",0.12953817910832,0.211708509149355,0.369025088888712,0,0.215183936045042,0.0437742984392454
"Small","All",0.297645202470144,0.246742205296455,0.278639195924479,0,0.0558544416886319,0
"Small","Bo",0.0411009587205895,0.0489126520761383,0.033439892129129,0,0,0
"Small","Mave",0.620010642978132,0.478431540077303,0.66529122290843,0.842911950404176,0.506987616316448,0.901759786106564
"Small","Tess",0.137513886888052,0.212780854020261,0.418887680797592,0,0.223429535485057,0.270099977706585
