population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,52.22888888888889,18,33,112.07535031316462
Bo,428.84983314794215,73,481,948.803716800796
Mave,28.544444444444444,14.5,29,41.046125905621
Rey,1106.993273542601,463,1332.5,1517.0447229112026
Tess,1401.8010335917313,298,1879.5,2204.25234905561
