population,RR_median,RR_mean,RR_IQR,RR_SD
All,0.8701655699727211,0.8427357128414827,0.1697421202662458,0.12309476867364354
Bo,0.8484848484848485,0.8182469399379972,0.21750000000000003,0.13817295835041413
Mave,0.8923745173745175,0.8506476308526745,0.19374999999999998,0.14494055934209707
Rey,0.8690402194064069,0.8428048251439124,0.17546294948972163,0.12372747910940435
Tess,0.9,0.8483644992163716,0.2592592592592593,0.15928812728493771
