population,stickiness_median,stickiness_mean,stickiness_IQR,stickiness_SD
All,0.7662214262176137,0.7172167480009,0.3313814870220757,0.21355661835501097
Bo,0.7855327016408598,0.7230958262288355,0.26734575911897795,0.17736433950665717
Mave,0.8129206155986436,0.7311262621186816,0.3248596361124281,0.2213518547722336
Rey,0.7885728994517458,0.704258121290174,0.3113207217647951,0.24589086098817753
Tess,0.8449054473609935,0.7095115759359212,0.40191864263367216,0.3068451867314492
