population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,134.19444444444446,30,62.25,497.4023970330444
Bo,2273.484993997599,1416,3265,2487.937716625117
Mave,49.97666666666667,17,28,134.9632855361566
Rey,1874.3360184119679,961,2609,2256.7503342845307
Tess,1605.7579365079366,430.5,2620,2240.689802936426
