population,stickiness_median,stickiness_mean,stickiness_IQR,stickiness_SD
All,0.8996461501505941,0.8335816737412243,0.19657488766100306,0.17945459281808648
Bo,0.9032258064516129,0.8379985424618486,0.15726495726495726,0.19113627561378432
Mave,0.9222966366383065,0.8269390491984744,0.176150009065146,0.23111251400755745
Rey,0.8918532634587899,0.7828532027387287,0.2104930815391891,0.27525271668985235
Tess,0.9780741274704151,0.8388599374396634,0.24621103227653618,0.25698857180726165
