population,TAT_median,TAT_mean,TAT_IQR,TAT_SD
All,0.5922000000000001,0.5092055555555556,0.7941250000000001,0.3484526626072925
Bo,0.6231,0.5396332222222222,0.7111750000000001,0.34657094658906273
Mave,0.4007,0.46043711111111113,0.6748,0.3245367938240497
Rey,0.5004,0.48174755555555554,0.68645,0.34118277208132447
Tess,0.56075,0.47162166666666666,0.815,0.37253698690960146
