replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,93,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,94,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,95,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,96,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,97,All,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,98,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,99,All,0.2,None,100,2,5,3,5,0,2,1,5,0,0
1,100,All,0.2,None,100,2,5,3,2,1,5,0,2,1,0
1,101,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,102,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,103,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,104,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,105,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,106,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,107,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,108,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,109,All,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,110,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,111,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,112,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,113,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,114,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,115,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,116,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,117,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,118,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,119,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,120,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,121,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,122,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,123,All,0.2,None,100,2,5,1,12,0,2,1,2,1,1
1,124,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,125,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,126,All,0.2,None,100,2,5,1,13,0,2,1,2,1,1
1,127,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,128,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,129,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,130,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,131,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,132,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,133,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,134,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,135,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,136,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,137,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,138,All,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,139,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,140,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,141,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,142,All,0.2,None,100,2,5,1,13,0,2,1,2,1,1
1,143,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,144,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,145,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,146,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,147,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,148,All,0.2,None,100,2,5,1,11,0,2,1,2,1,1
1,149,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,150,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,151,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,152,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,153,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,154,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,155,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,156,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,157,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,158,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,159,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,160,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,161,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,162,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,163,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,164,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,165,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,166,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,167,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,168,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,169,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,170,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,171,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,172,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,173,All,0.2,None,100,2,5,1,10,0,2,1,2,1,1
1,174,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,175,All,0.2,None,100,2,5,1,5,0,2,1,5,0,0
