"population","network","stickiness_median","stickiness_mean","stickiness_IQR","stickiness_SD"
"All","Small",0.742145013031993,0.728378684688594,0.39957236389285,0.217110900404145
"Bo","Small",0.835391304347826,0.833187368612476,0.112747713976094,0.0672932582465123
"Mave","Small",0.787758293022813,0.706959564812615,0.421380741344641,0.24766995613979
"Tess","Small",0.72163110617044,0.673526491283987,0.507019062460508,0.298883138348972
