"network","population","TAT50_median","TAT50_mean","TAT50_IQR","TAT_SD"
"Small","All",0,0.000485267807629929,0,0.123787886211899
"Small","Bo",0,0,0,0.00527339139796619
"Small","Mave",0,0.165115973032526,0.175470040627536,0.202176095539996
"Small","Tess",0,0.127934101593463,0,0.222178469844375
