population,RR_median,RR_mean,RR_IQR,RR_SD
All,0.768686105070669,0.7797711857025988,0.11560889989592393,0.09522392212885732
Bo,0.7714285714285715,0.760586434591409,0.12857142857142867,0.10258615449525159
Mave,0.7886762360446571,0.7807968442590407,0.169279176201373,0.12326615798573624
Rey,0.7687879305698573,0.7792355413969329,0.11460037114229893,0.09581318084340815
Tess,0.7894736842105263,0.7959695772212608,0.2302350427350428,0.14752592245701293
