population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,71.54666666666667,21,40.75,146.94097962176824
Bo,523.0267260579064,89,523,1180.7670891954012
Mave,33.971111111111114,17,32.75,50.07149953394473
Rey,1166.2415349887133,467,1353,1643.426288707752
Tess,1207.639889196676,211,1564,1973.702402976584
