orig_type,old_model,selected_model,count
Tess,2,1,417
Tess,2,2,203
Tess,2,4,191
Tess,3,1,247
Tess,3,3,138
Tess,3,4,122
Tess,4,2,696
Tess,4,3,1406
Tess,4,4,735
Tess,5,1,6431
Tess,5,5,3186
Tess,5,7,3054
Tess,6,1,384
Tess,6,6,199
Tess,6,8,212
Tess,7,3,14024
Tess,7,5,6976
Tess,7,7,7041
Tess,8,2,394
Tess,8,6,803
Tess,8,8,426
Tess,9,2,399
Tess,9,3,779
Tess,9,9,394
Tess,10,5,4298
Tess,10,6,8602
Tess,10,10,4357
Tess,11,3,8660
Tess,11,5,4388
Tess,11,11,4331
Tess,12,2,265
Tess,12,6,462
Tess,12,12,238
Tess,13,5,3590
Tess,13,6,7172
Tess,13,13,3481
Tess,14,5,6355
Tess,14,6,13188
Tess,14,14,6582
Tess,1,2,21
Tess,1,3,23
Tess,2,1,197
Tess,2,2,93
Tess,2,4,101
Tess,3,1,415
Tess,3,3,224
Tess,3,4,237
Tess,4,2,224
Tess,4,3,515
Tess,4,4,249
Tess,5,1,3132
Tess,5,5,1630
Tess,5,7,1613
Tess,6,1,3023
Tess,6,6,1473
Tess,6,8,1514
Tess,7,3,1908
Tess,7,5,904
Tess,7,7,1050
Tess,8,2,359
Tess,8,6,714
Tess,8,8,367
Tess,9,2,619
Tess,9,3,1402
Tess,9,9,736
Tess,10,5,1841
Tess,10,6,3629
Tess,10,10,1735
Tess,11,3,3887
Tess,11,5,1924
Tess,11,11,1858
Tess,12,2,2504
Tess,12,6,5173
Tess,12,12,2645
Tess,13,5,12864
Tess,13,6,25705
Tess,13,13,12756
Tess,14,5,6629
Tess,14,6,13044
Tess,14,14,6466
Tess,1,2,3124
Tess,1,3,3222
Tess,2,1,40942
Tess,2,2,20533
Tess,2,4,20812
Tess,3,1,247
Tess,3,3,127
Tess,3,4,132
Tess,4,2,1352
Tess,4,3,2849
Tess,4,4,1369
Tess,5,1,13396
Tess,5,5,6626
Tess,5,7,6652
Tess,6,1,48
Tess,6,6,17
Tess,6,8,31
Tess,7,3,563
Tess,7,5,273
Tess,7,7,283
Tess,8,2,232
Tess,8,6,435
Tess,8,8,204
Tess,9,2,241
Tess,9,3,406
Tess,9,9,214
Tess,10,5,49
