orig_type,count,total
Bo,688,1588
Mave,131,1710
Rey,241,1643
Tess,70260,495059
Bo,589,1690
Mave,108,1731
Rey,268,1675
Tess,80580,494904
Bo,617,1732
Mave,127,1672
Rey,279,1645
Tess,80651,494951
Bo,1169,1588
Mave,106,1710
Rey,109,1643
Tess,31636,495059
Bo,1063,1690
Mave,113,1731
Rey,157,1675
Tess,45023,494904
Bo,1126,1732
Mave,120,1672
Rey,141,1645
Tess,42315,494951
