orig_type,old_model,count,total
Bo,1,47,47
Bo,5,12467,12467
Bo,6,789,789
Bo,14,25986,25986
Mave,1,2,43
Mave,2,63,822
Mave,3,39,483
Mave,4,208,2825
Mave,5,942,12808
Mave,6,55,779
Mave,7,1977,28006
Mave,8,158,1657
Mave,9,96,1544
Mave,10,1250,17282
Mave,11,1227,17270
Mave,12,75,970
Mave,13,995,14186
Mave,14,1709,25864
Rey,1,14,33
Rey,2,91,828
Rey,3,53,516
Rey,4,315,2899
Rey,5,5462,12597
Rey,6,333,736
Rey,7,3010,28249
Rey,8,162,1619
Rey,9,148,1599
Rey,10,1871,17395
Rey,11,1927,17640
Rey,12,107,1017
Rey,13,1534,14310
Rey,14,11603,26193
Tess,2,203,811
Tess,3,138,507
Tess,4,735,2837
Tess,5,3186,12671
Tess,6,199,795
Tess,7,7041,28041
Tess,8,426,1623
Tess,9,394,1572
Tess,10,4357,17257
Tess,11,4331,17379
Tess,12,238,965
Tess,13,3481,14243
Tess,14,6582,26125
Bo,1,36,36
Bo,5,6523,6523
Bo,6,5672,5672
Bo,14,25891,25891
Mave,1,2,34
Mave,2,21,440
Mave,3,77,862
Mave,4,74,1051
Mave,5,470,6394
Mave,6,426,5865
Mave,7,274,3923
Mave,8,108,1536
Mave,9,161,2664
Mave,10,484,7158
Mave,11,520,7545
Mave,12,705,10117
Mave,13,3609,51221
Mave,14,1829,25846
Rey,1,16,52
Rey,2,39,395
Rey,3,92,878
Rey,4,129,1063
Rey,5,2860,6401
Rey,6,2631,6000
Rey,7,411,3913
Rey,8,166,1526
Rey,9,284,2636
Rey,10,693,7133
Rey,11,812,7617
Rey,12,1047,10093
Rey,13,5538,51325
Rey,14,11461,26164
Tess,2,93,391
Tess,3,224,876
Tess,4,249,988
Tess,5,1630,6375
Tess,6,1473,6010
Tess,7,1050,3862
Tess,8,367,1440
Tess,9,736,2757
Tess,10,1735,7205
Tess,11,1858,7669
Tess,12,2645,10322
Tess,13,12756,51325
Tess,14,6466,26139
Bo,1,6268,6268
Bo,5,26562,26562
Bo,6,111,111
Bo,14,44,44
Mave,1,454,6360
Mave,2,5835,82347
Mave,3,23,491
Mave,4,362,5515
Mave,5,1835,26115
Mave,6,6,114
Mave,7,80,1070
Mave,8,64,802
Mave,9,75,815
Mave,10,9,193
Mave,11,15,175
Mave,12,11,189
Mave,13,2,68
Mave,14,2,30
Rey,1,2249,6325
Rey,2,8806,82793
Rey,3,59,470
Rey,4,567,5652
Rey,5,11650,26528
Rey,6,52,126
Rey,7,112,1092
Rey,8,109,885
Rey,9,82,809
Rey,10,27,213
Rey,11,16,154
Rey,12,16,216
Rey,13,4,54
Rey,14,22,41
Tess,2,20533,82287
Tess,3,127,506
Tess,4,1369,5570
Tess,5,6626,26674
Tess,6,17,96
Tess,7,283,1119
Tess,8,204,871
Tess,9,214,861
Tess,10,50,188
Tess,11,43,174
Tess,12,45,214
Tess,13,11,59
Tess,14,8,42
Bo,1,411,411
Bo,5,23100,23100
Bo,6,1748,1748
Bo,14,1629,1629
Mave,1,33,389
Mave,2,181,2750
Mave,3,309,3906
Mave,4,547,7747
Mave,5,1679,23044
Mave,6,131,1780
Mave,7,4013,56615
Mave,8,131,1980
Mave,9,125,1746
Mave,10,802,10416
Mave,11,644,9585
Mave,12,21,406
Mave,13,196,2584
Mave,14,120,1591
Rey,1,146,394
Rey,2,304,2758
Rey,3,429,3937
Rey,4,811,7773
Rey,5,10224,23166
Rey,6,804,1786
Rey,7,6202,57134
Rey,8,249,2018
Rey,9,184,1832
Rey,10,1163,10416
Rey,11,951,9800
Rey,12,29,417
Rey,13,299,2627
Rey,14,686,1573
Tess,2,706,2763
Tess,3,940,3857
Tess,4,1926,7758
Tess,5,5767,23032
Tess,6,434,1743
Tess,7,14434,57112
Tess,8,528,1942
Tess,9,437,1786
Tess,10,2588,10311
Tess,11,2314,9610
Tess,12,87,389
Tess,13,652,2575
Tess,14,391,1600
Bo,1,27344,27344
Bo,5,16414,16414
Bo,6,16868,16868
Bo,14,6197,6197
Mave,1,1915,27171
Mave,2,785,11087
Mave,3,811,12161
Mave,4,341,4803
Mave,5,1133,16479
Mave,6,1242,16850
Mave,7,305,4537
Mave,8,297,4293
Mave,9,289,4117
Mave,10,245,3697
Mave,11,294,4304
Mave,12,290,4151
Mave,13,309,4748
Mave,14,433,6258
Rey,1,9835,27402
Rey,2,1236,11050
Rey,3,1284,11980
Rey,4,537,4899
Rey,5,7323,16324
Rey,6,7423,17031
Rey,7,455,4472
Rey,8,427,4190
Rey,9,421,4229
Rey,10,348,3621
Rey,11,521,4551
Rey,12,473,4157
Rey,13,498,4914
Rey,14,2753,6376
Tess,2,2832,11010
Tess,3,3073,12246
Tess,4,1245,4959
Tess,5,3963,16055
Tess,6,4299,17141
Tess,7,1093,4539
Tess,8,1059,4366
Tess,9,1014,4180
Tess,10,951,3755
Tess,11,1138,4583
Tess,12,1057,4066
Tess,13,1220,4849
Tess,14,1463,6120
Bo,1,31471,31471
Bo,5,21003,21003
Bo,6,5436,5436
Bo,14,2257,2257
Mave,1,2203,31191
Mave,2,2122,30035
Mave,3,550,7790
Mave,4,516,7695
Mave,5,1556,20632
Mave,6,385,5320
Mave,7,284,3817
Mave,8,302,4173
Mave,9,248,3231
Mave,10,135,2212
Mave,11,150,2045
Mave,12,164,2206
Mave,13,123,1672
Mave,14,130,2265
Rey,1,11349,31735
Rey,2,3276,30492
Rey,3,803,7871
Rey,4,774,7514
Rey,5,9101,20833
Rey,6,2371,5417
Rey,7,427,3859
Rey,8,447,4119
Rey,9,329,3106
Rey,10,218,2210
Rey,11,210,2072
Rey,12,240,2136
Rey,13,208,1759
Rey,14,951,2235
Tess,2,7629,30186
Tess,3,1913,7682
Tess,4,1964,7722
Tess,5,5117,20964
Tess,6,1373,5360
Tess,7,993,3967
Tess,8,1027,4026
Tess,9,812,3290
Tess,10,543,2204
Tess,11,476,2006
Tess,12,568,2205
Tess,13,424,1680
Tess,14,584,2275
Bo,1,25110,25110
Bo,5,20468,20468
Bo,6,11760,11760
Bo,14,4196,4196
Mave,1,1797,24763
Mave,2,848,12403
Mave,3,1118,15550
Mave,4,512,7477
Mave,5,1469,20550
Mave,6,861,11895
Mave,7,534,7759
Mave,8,308,4018
Mave,9,212,3029
Mave,10,272,4182
Mave,11,224,3682
Mave,12,143,2030
Mave,13,224,3002
Mave,14,291,4199
Rey,1,8888,24652
Rey,2,1328,12490
Rey,3,1666,15920
Rey,4,811,7669
Rey,5,9191,20904
Rey,6,5140,11749
Rey,7,773,7723
Rey,8,380,4075
Rey,9,308,3017
Rey,10,414,4191
Rey,11,356,3750
Rey,12,225,2134
Rey,13,362,3113
Rey,14,1811,4244
Tess,2,3087,12429
Tess,3,3782,15539
Tess,4,1838,7407
Tess,5,5140,20687
Tess,6,2974,12020
Tess,7,1867,7555
Tess,8,990,4109
Tess,9,721,2994
Tess,10,1058,4200
Tess,11,885,3710
Tess,12,530,2119
Tess,13,796,3162
Tess,14,1032,4133
