orig_type,old_model,count,total
Bo,6,8,8
Bo,14,282,282
Mave,2,5,138
Mave,3,7,123
Mave,4,94,1310
Mave,5,76,1113
Mave,6,115,1491
Mave,7,701,9585
Mave,8,239,3668
Mave,9,545,7570
Mave,10,2728,37613
Mave,11,2923,40722
Mave,12,3791,52678
Mave,13,18221,257100
Mave,14,6002,81989
Rey,4,1,2
Rey,6,2,7
Rey,7,5,25
Rey,9,2,33
Rey,10,9,127
Rey,11,6,142
Rey,12,14,169
Rey,13,47,851
Rey,14,17,269
Tess,6,2,4
Tess,7,5,27
Tess,8,1,13
Tess,9,3,17
Tess,10,29,128
Tess,11,37,134
Tess,12,42,184
Tess,13,222,834
Tess,14,52,257
Bo,1,5,5
Bo,5,260,260
Bo,6,1,1
Bo,14,27,27
Mave,1,272,3536
Mave,2,13189,184529
Mave,3,150,1947
Mave,4,5475,76504
Mave,5,4897,70021
Mave,6,74,1125
Mave,7,2229,30618
Mave,8,2261,32419
Mave,9,2246,32119
Mave,10,1057,15116
Mave,11,1139,15423
Mave,12,1185,15977
Mave,13,644,8852
Mave,14,475,6754
Rey,1,2,12
Rey,2,45,607
Rey,3,1,9
Rey,4,25,280
Rey,5,26,240
Rey,7,5,95
Rey,8,8,100
Rey,9,8,108
Rey,10,8,58
Rey,11,4,57
Rey,12,3,46
Rey,14,1,25
Tess,2,159,629
Tess,3,1,4
Tess,4,68,274
Tess,5,61,262
Tess,7,38,99
Tess,8,23,99
Tess,9,29,122
Tess,10,20,54
Tess,11,16,65
Tess,12,15,51
Tess,13,4,32
Tess,14,7,25
Bo,5,84,84
Bo,6,3,3
Bo,14,63,63
Mave,1,9,83
Mave,2,290,4038
Mave,3,86,1008
Mave,4,1571,21616
Mave,5,1793,24930
Mave,6,41,628
Mave,7,15856,222618
Mave,8,669,9233
Mave,9,664,9400
Mave,10,5135,72482
Mave,11,5112,71200
Mave,12,337,4489
Mave,13,2423,32865
Mave,14,1488,20416
Rey,2,1,10
Rey,3,1,7
Rey,4,4,56
Rey,5,5,92
Rey,7,58,760
Rey,8,2,33
Rey,9,2,40
Rey,10,17,223
Rey,11,13,224
Rey,13,8,103
Rey,14,7,82
Tess,2,7,20
Tess,3,2,4
Tess,4,25,73
Tess,5,20,92
Tess,7,181,763
Tess,8,8,27
Tess,9,13,28
Tess,10,73,252
Tess,11,57,244
Tess,12,1,15
Tess,13,35,99
Tess,14,12,64
Bo,5,30,30
Bo,6,30,30
Bo,14,92,92
Mave,1,5,62
Mave,2,136,1890
Mave,3,106,1530
Mave,4,498,6716
Mave,5,795,10165
Mave,6,609,8807
Mave,7,1786,24768
Mave,8,844,11719
Mave,9,1827,25822
Mave,10,4122,57237
Mave,11,5093,70970
Mave,12,5413,76536
Mave,13,11864,169766
Mave,14,2200,29114
Rey,4,3,22
Rey,7,10,65
Rey,8,1,43
Rey,9,8,81
Rey,10,16,185
Rey,11,6,227
Rey,12,22,299
Rey,13,44,553
Rey,14,11,105
Tess,3,1,4
Tess,4,7,19
Tess,5,16,46
Tess,6,6,20
Tess,7,17,69
Tess,8,8,35
Tess,9,24,83
Tess,10,42,200
Tess,11,46,210
Tess,12,70,265
Tess,13,147,550
Tess,14,32,103
Bo,1,51,51
Bo,5,89,89
Bo,6,2,2
Bo,14,1,1
Mave,1,1182,16940
Mave,2,29489,411815
Mave,3,177,2511
Mave,4,1777,25036
Mave,5,1712,24128
Mave,6,22,428
Mave,7,253,3683
Mave,8,284,3936
Mave,9,250,3809
Mave,10,45,770
Mave,11,53,757
Mave,12,76,864
Mave,13,15,187
Mave,14,2,76
Rey,1,5,62
Rey,2,102,1397
Rey,4,3,76
Rey,5,6,99
Rey,6,1,2
Rey,7,1,12
Tess,2,352,1429
Tess,3,4,10
Tess,4,24,87
Tess,5,18,89
Tess,7,3,13
Tess,8,3,15
Tess,9,1,18
Tess,10,1,2
Tess,11,1,2
Tess,12,1,3
Bo,1,2,2
Bo,5,200,200
Bo,6,4,4
Bo,14,2,2
Mave,1,42,643
Mave,2,1140,15840
Mave,3,460,6524
Mave,4,3800,53686
Mave,5,4567,63287
Mave,6,136,1750
Mave,7,19580,276389
Mave,8,543,7097
Mave,9,539,7482
Mave,10,1882,26164
Mave,11,1859,26083
Mave,12,101,1470
Mave,13,456,6147
Mave,14,204,2444
Rey,2,2,44
Rey,3,2,17
Rey,4,13,187
Rey,5,17,228
Rey,7,54,917
Rey,9,1,24
Rey,10,8,88
Rey,11,8,79
Rey,12,2,5
Rey,13,4,16
Tess,2,12,45
Tess,3,5,15
Tess,4,40,163
Tess,5,57,245
Tess,6,1,3
Tess,7,221,949
Tess,8,7,25
Tess,9,6,20
Tess,10,31,97
Tess,11,21,77
Tess,13,6,30
Tess,14,1,8
Bo,1,163,163
Bo,5,147,147
Bo,6,132,132
Bo,14,61,61
Mave,1,3376,47250
Mave,2,3502,46781
Mave,3,3073,41958
Mave,4,2701,38594
Mave,5,3246,45191
Mave,6,2504,35444
Mave,7,2531,35196
Mave,8,2279,31259
Mave,9,2876,39876
Mave,10,2015,28356
Mave,11,2435,32406
Mave,12,2242,30075
Mave,13,1829,25664
Mave,14,1136,17052
Rey,1,16,146
Rey,2,10,166
Rey,3,9,143
Rey,4,6,122
Rey,5,19,154
Rey,6,4,120
Rey,7,8,96
Rey,8,11,103
Rey,9,10,142
Rey,10,7,104
Rey,11,4,105
Rey,12,10,105
Rey,13,10,80
Rey,14,8,57
Tess,2,32,156
Tess,3,27,136
Tess,4,27,127
Tess,5,48,154
Tess,6,26,107
Tess,7,19,90
Tess,8,24,106
Tess,9,39,123
Tess,10,22,95
Tess,11,26,113
Tess,12,19,86
Tess,13,22,86
Tess,14,21,60
Bo,1,199,199
Bo,5,185,185
Bo,6,63,63
Bo,14,25,25
Mave,1,4279,60681
Mave,2,9653,133905
Mave,3,2112,30412
Mave,4,4295,60029
Mave,5,3913,54682
Mave,6,1142,16094
Mave,7,1928,26138
Mave,8,1965,27652
Mave,9,1997,27635
Mave,10,958,13885
Mave,11,975,14092
Mave,12,1048,14426
Mave,13,635,8624
Mave,14,460,6685
Rey,1,12,219
Rey,2,27,466
Rey,3,5,98
Rey,4,16,186
Rey,5,15,201
Rey,6,5,59
Rey,7,4,74
Rey,8,5,91
Rey,9,4,82
Rey,10,3,45
Rey,11,1,41
Rey,12,8,50
Rey,13,2,36
Rey,14,3,27
Tess,2,108,480
Tess,3,22,102
Tess,4,55,207
Tess,5,53,194
Tess,6,14,46
Tess,7,34,94
Tess,8,22,83
Tess,9,13,80
Tess,10,14,58
Tess,11,16,52
Tess,12,11,43
Tess,13,7,28
Tess,14,4,24
Bo,1,137,137
Bo,5,201,201
Bo,6,78,78
Bo,14,32,32
Mave,1,3141,43670
Mave,2,4124,57721
Mave,3,3597,49826
Mave,4,4042,56811
Mave,5,4039,57260
Mave,6,1847,25422
Mave,7,3726,52720
Mave,8,1902,26928
Mave,9,2035,28321
Mave,10,1938,26705
Mave,11,1927,27095
Mave,12,1084,15032
Mave,13,1140,15908
Mave,14,842,11587
Rey,1,4,120
Rey,2,13,177
Rey,3,9,164
Rey,4,22,190
Rey,5,24,220
Rey,6,3,99
Rey,7,13,162
Rey,8,5,79
Rey,9,5,111
Rey,10,11,97
Rey,11,2,77
Rey,12,4,56
Rey,13,3,62
Tess,2,55,196
Tess,3,47,170
Tess,4,49,180
Tess,5,51,210
Tess,6,24,93
Tess,7,38,177
Tess,8,17,90
Tess,9,18,90
Tess,10,21,100
Tess,11,31,98
Tess,12,15,51
Tess,13,11,52
Tess,14,8,32
Bo,1,783,783
Bo,5,92,92
Bo,6,70,70
Bo,14,4,4
Mave,1,17186,239973
Mave,2,5282,75240
Mave,3,4653,64886
Mave,4,1529,22156
Mave,5,2005,27643
Mave,6,1555,21239
Mave,7,618,9544
Mave,8,607,8092
Mave,9,772,11202
Mave,10,301,4036
Mave,11,320,4369
Mave,12,298,4009
Mave,13,144,1979
Mave,14,53,734
Rey,1,50,797
Rey,2,21,260
Rey,3,10,207
Rey,4,4,82
Rey,5,11,83
Rey,6,2,62
Rey,7,2,35
Rey,8,3,24
Rey,9,3,40
Rey,11,1,21
Rey,12,3,19
Tess,2,58,243
Tess,3,56,223
Tess,4,23,75
Tess,5,18,83
Tess,6,12,54
Tess,7,14,29
Tess,8,4,29
Tess,9,11,37
Tess,10,5,12
Tess,11,4,15
Tess,12,6,11
Tess,13,2,6
Tess,14,1,3
Bo,1,756,756
Bo,5,90,90
Bo,6,15,15
Mave,1,16648,232742
Mave,2,11789,164845
Mave,3,1916,26560
Mave,4,1672,23980
Mave,5,1644,22988
Mave,6,377,4859
Mave,7,393,4861
Mave,8,338,4721
Mave,9,344,5145
Mave,10,82,1224
Mave,11,86,1220
Mave,12,88,1264
Mave,13,31,369
Mave,14,12,162
Rey,1,65,775
Rey,2,39,583
Rey,3,6,90
Rey,4,8,73
Rey,5,5,81
Rey,6,1,14
Rey,9,3,28
Rey,10,1,5
Tess,2,146,591
Tess,3,29,101
Tess,4,16,76
Tess,5,14,77
Tess,6,7,17
Tess,7,4,20
Tess,8,3,14
Tess,9,1,16
Tess,10,2,5
Tess,12,2,3
Tess,13,1,1
Bo,1,696,696
Bo,5,101,101
Bo,6,58,58
Bo,14,3,3
Mave,1,15037,211063
Mave,2,6539,91337
Mave,3,5223,75966
Mave,4,2164,31149
Mave,5,2509,34506
Mave,6,962,14047
Mave,7,975,13451
Mave,8,445,6497
Mave,9,540,7017
Mave,10,231,3389
Mave,11,234,3542
Mave,12,110,1583
Mave,13,96,1064
Mave,14,23,395
Rey,1,55,702
Rey,2,15,287
Rey,3,18,250
Rey,4,9,99
Rey,5,10,140
Rey,6,3,38
Rey,7,3,51
Rey,8,1,24
Rey,9,3,17
Rey,10,1,16
Rey,11,1,11
Rey,12,1,5
Tess,2,74,310
Tess,3,53,224
Tess,4,19,106
Tess,5,38,132
Tess,6,17,61
Tess,7,16,52
Tess,8,3,17
Tess,9,4,24
Tess,11,1,12
Tess,12,1,4
Bo,6,4,4
Bo,14,1190,1190
Mave,4,1,3
Mave,6,1,8
Mave,8,1,3
Mave,9,1,4
Mave,10,1,7
Mave,13,26,341
Mave,14,91,1323
Rey,4,55,1330
Rey,6,168,1798
Rey,7,205,830
Rey,8,279,691
Rey,9,432,1505
Rey,10,626,4040
Rey,11,80,1389
Rey,12,611,5303
Rey,13,10271,104441
Rey,14,151039,373359
Tess,7,1,2
Tess,8,2,6
Tess,9,1,8
Tess,10,7,20
Tess,11,1,7
Tess,12,7,25
Tess,13,85,358
Tess,14,305,1251
Bo,1,1,1
Bo,5,680,680
Bo,6,1,1
Bo,14,66,66
Mave,2,46,480
Mave,4,9,148
Mave,5,50,694
Mave,7,7,67
Mave,8,7,69
Mave,9,4,66
Mave,11,2,41
Mave,12,3,45
Mave,13,1,23
Mave,14,4,56
Rey,1,198,348
Rey,2,15793,130239
Rey,4,4968,41787
Rey,5,88663,202501
Rey,6,218,221
Rey,7,2654,21599
Rey,8,1576,19133
Rey,9,1464,17879
Rey,10,657,9035
Rey,11,1538,12965
Rey,12,1309,14720
Rey,13,831,9092
Rey,14,7965,15463
Tess,2,103,418
Tess,4,37,129
Tess,5,153,633
Tess,7,19,71
Tess,8,10,58
Tess,9,16,70
Tess,10,5,28
Tess,11,12,48
Tess,12,10,54
Tess,13,7,23
Tess,14,21,56
Bo,1,4,4
Bo,5,22,22
Bo,6,2,2
Bo,14,463,463
Mave,4,2,12
Mave,7,21,360
Mave,9,1,7
Mave,10,17,330
Mave,11,16,259
Mave,13,12,223
Mave,14,20,438
Rey,1,300,457
Rey,4,852,3426
Rey,5,2219,5969
Rey,6,265,610
Rey,7,11217,106135
Rey,8,247,1283
Rey,9,62,2606
Rey,10,9343,96396
Rey,11,7393,79503
Rey,12,124,1113
Rey,13,5181,67041
Rey,14,55483,129893
Tess,4,3,10
Tess,5,4,20
Tess,6,1,5
Tess,7,90,377
Tess,8,1,4
Tess,9,2,8
Tess,10,72,310
Tess,11,74,281
Tess,12,2,8
Tess,13,51,209
Tess,14,108,439
Bo,6,4,4
Bo,14,777,777
Mave,4,1,3
Mave,6,1,8
Mave,8,1,3
Mave,9,1,4
Mave,10,1,9
Mave,13,61,764
Mave,14,58,886
Rey,4,55,1329
Rey,6,168,1834
Rey,7,205,844
Rey,8,279,755
Rey,9,432,1502
Rey,10,267,3940
Rey,11,80,1493
Rey,12,880,8384
Rey,13,25143,223406
Rey,14,101647,251195
Tess,7,1,2
Tess,8,2,6
Tess,9,1,8
Tess,10,6,17
Tess,11,1,7
Tess,12,7,32
Tess,13,195,758
Tess,14,211,847
Bo,1,1,1
Bo,5,438,438
Bo,6,1,1
Bo,14,1,1
Mave,2,81,1098
Mave,4,3,59
Mave,5,32,462
Mave,7,3,32
Mave,8,3,36
Mave,9,1,19
Mave,12,1,7
Rey,1,198,353
Rey,2,32623,318952
Rey,4,1926,21308
Rey,5,55488,127573
Rey,6,218,219
Rey,7,691,6317
Rey,8,1121,10099
Rey,9,473,4033
Rey,11,606,3186
Rey,12,199,1717
Rey,14,95,269
Tess,2,234,1008
Tess,4,12,63
Tess,5,115,422
Tess,7,4,21
Tess,8,8,36
Tess,9,7,21
Tess,11,5,11
Bo,1,4,4
Bo,5,50,50
Bo,6,2,2
Bo,14,100,100
Mave,2,1,2
Mave,4,4,50
Mave,5,1,60
Mave,7,61,819
Mave,10,17,278
Mave,11,20,283
Mave,13,9,96
Mave,14,5,76
Rey,1,300,462
Rey,2,12,1274
Rey,4,1121,14266
Rey,5,5633,14575
Rey,6,265,605
Rey,7,24909,240437
Rey,8,58,786
Rey,9,2,1125
Rey,10,10105,88940
Rey,11,8618,80293
Rey,12,73,319
Rey,13,2133,29030
Rey,14,10568,22775
Tess,4,11,50
Tess,5,16,56
Tess,6,1,5
Tess,7,213,809
Tess,9,1,3
Tess,10,82,314
Tess,11,71,247
Tess,12,1,1
Tess,13,16,101
Tess,14,17,79
Bo,5,11,11
Bo,6,14,14
Bo,14,1047,1047
Mave,4,1,7
Mave,6,3,24
Mave,7,1,17
Mave,8,2,6
Mave,9,4,16
Mave,10,3,31
Mave,11,2,37
Mave,13,30,386
Mave,14,70,1132
Rey,4,55,1753
Rey,5,743,2476
Rey,6,1121,5615
Rey,7,744,4088
Rey,8,567,2008
Rey,9,986,4269
Rey,10,1120,10132
Rey,11,662,11422
Rey,12,1523,13905
Rey,13,13053,120196
Rey,14,128478,318496
Tess,5,2,10
Tess,6,2,18
Tess,7,4,11
Tess,8,5,10
Tess,9,4,19
Tess,10,9,33
Tess,11,8,45
Tess,12,12,40
Tess,13,95,416
Tess,14,255,1075
Bo,1,26,26
Bo,5,669,669
Bo,6,10,10
Bo,14,71,71
Mave,1,1,28
Mave,2,38,437
Mave,3,1,6
Mave,4,10,147
Mave,5,47,687
Mave,7,7,63
Mave,8,9,80
Mave,9,4,67
Mave,11,2,39
Mave,12,1,40
Mave,13,1,24
Mave,14,4,58
Rey,1,2869,8101
Rey,2,14085,121481
Rey,3,76,1478
Rey,4,5378,41385
Rey,5,88052,199379
Rey,6,1658,2616
Rey,7,2654,20344
Rey,8,2217,21563
Rey,9,1669,17597
Rey,10,748,9422
Rey,11,1397,12376
Rey,12,1096,14080
Rey,13,831,8867
Rey,14,8605,16301
Tess,2,92,383
Tess,4,37,126
Tess,5,155,627
Tess,7,19,71
Tess,8,13,69
Tess,9,16,71
Tess,10,6,29
Tess,11,10,45
Tess,12,11,57
Tess,13,7,22
Tess,14,23,60
Bo,1,3,3
Bo,5,196,196
Bo,6,21,21
Bo,14,370,370
Mave,4,5,44
Mave,5,10,205
Mave,7,28,333
Mave,8,2,23
Mave,9,2,21
Mave,10,12,224
Mave,11,12,215
Mave,12,1,10
Mave,13,11,209
Mave,14,19,352
Rey,1,237,434
Rey,2,472,4783
Rey,3,36,1777
Rey,4,2732,13450
Rey,5,22736,54235
Rey,6,2708,5229
Rey,7,11438,104194
Rey,8,1463,7992
Rey,9,533,5379
Rey,10,6155,65299
Rey,11,6584,65784
Rey,12,865,4492
Rey,13,5513,59672
Rey,14,43723,102198
Tess,2,5,15
Tess,3,1,10
Tess,4,16,49
Tess,5,52,193
Tess,6,6,25
Tess,7,87,327
Tess,8,9,25
Tess,9,7,22
Tess,10,49,214
Tess,11,62,212
Tess,12,6,22
Tess,13,57,218
Tess,14,82,343
Bo,5,61,61
Bo,6,66,66
Bo,14,343,343
Mave,2,1,2
Mave,3,1,14
Mave,4,3,30
Mave,5,4,82
Mave,6,9,89
Mave,7,3,60
Mave,9,2,38
Mave,10,7,78
Mave,11,8,128
Mave,12,11,189
Mave,13,33,622
Mave,14,25,356
Rey,2,37,1301
Rey,3,103,3340
Rey,4,684,7244
Rey,5,7695,20310
Rey,6,7922,21745
Rey,7,2022,15524
Rey,8,653,7656
Rey,9,1506,10410
Rey,10,2958,27415
Rey,11,2931,35720
Rey,12,4919,52559
Rey,13,21126,184388
Rey,14,44465,107370
Tess,3,1,13
Tess,4,5,22
Tess,5,12,56
Tess,6,24,81
Tess,7,10,47
Tess,8,6,29
Tess,9,9,31
Tess,10,22,93
Tess,11,32,132
Tess,12,32,161
Tess,13,179,644
Tess,14,79,374
Bo,1,68,68
Bo,5,408,408
Bo,6,3,3
Bo,14,1,1
Mave,1,4,63
Mave,2,71,1075
Mave,4,3,63
Mave,5,34,424
Mave,7,3,32
Mave,8,3,30
Mave,9,1,17
Rey,1,7224,19229
Rey,2,29175,310673
Rey,3,61,3439
Rey,4,1858,18437
Rey,5,51236,117482
Rey,6,424,1173
Rey,7,651,6357
Rey,8,898,9805
Rey,9,473,4200
Rey,11,293,1947
Rey,14,95,297
Tess,2,215,960
Tess,3,1,10
Tess,4,12,56
Tess,5,102,388
Tess,7,3,21
Tess,8,10,37
Tess,9,7,22
Tess,11,3,9
Bo,1,9,9
Bo,5,379,379
Bo,6,37,37
Bo,14,22,22
Mave,2,2,25
Mave,3,7,63
Mave,4,7,141
Mave,5,21,366
Mave,7,43,612
Mave,8,1,10
Mave,9,2,17
Mave,10,8,183
Mave,11,6,140
Mave,13,3,44
Mave,14,2,35
Rey,1,559,1693
Rey,2,754,9720
Rey,3,1852,17951
Rey,4,4580,41500
Rey,5,45908,100357
Rey,6,6000,10555
Rey,7,19866,195854
Rey,8,68,3504
Rey,9,675,5273
Rey,10,6155,46866
Rey,11,4364,41558
Rey,12,227,1206
Rey,13,1011,11084
Rey,14,2363,7797
Tess,2,10,38
Tess,3,11,63
Tess,4,35,153
Tess,5,98,341
Tess,6,16,42
Tess,7,167,635
Tess,9,10,29
Tess,10,51,166
Tess,11,32,129
Tess,12,3,7
Tess,13,6,33
Tess,14,5,25
Bo,1,329,329
Bo,5,186,186
Bo,6,208,208
Bo,14,79,79
Mave,1,23,353
Mave,2,12,127
Mave,3,12,147
Mave,4,7,81
Mave,5,18,218
Mave,6,23,250
Mave,7,6,70
Mave,8,3,51
Mave,9,5,52
Mave,10,8,69
Mave,11,6,70
Mave,12,2,58
Mave,13,6,83
Mave,14,7,81
Rey,1,33598,103188
Rey,2,5246,42262
Rey,3,4696,44996
Rey,4,1565,21663
Rey,5,23850,58797
Rey,6,30049,68484
Rey,7,2384,19227
Rey,8,875,17847
Rey,9,1652,15861
Rey,10,2702,16398
Rey,11,2731,20815
Rey,12,1602,18907
Rey,13,2518,22679
Rey,14,9582,23892
Tess,2,42,156
Tess,3,42,170
Tess,4,19,60
Tess,5,48,210
Tess,6,61,249
Tess,7,17,65
Tess,8,8,49
Tess,9,11,53
Tess,10,12,39
Tess,11,19,77
Tess,12,16,72
Tess,13,14,61
Tess,14,20,91
Bo,1,408,408
Bo,5,283,283
Bo,6,74,74
Bo,14,36,36
Mave,1,30,409
Mave,2,30,387
Mave,3,9,128
Mave,4,3,97
Mave,5,20,290
Mave,6,3,91
Mave,7,2,38
Mave,8,3,54
Mave,9,7,58
Mave,10,5,45
Mave,11,4,36
Mave,12,1,36
Mave,13,1,25
Mave,14,4,37
Rey,1,44277,117592
Rey,2,12637,111708
Rey,3,3204,32530
Rey,4,3043,30860
Rey,5,34403,82196
Rey,6,10056,24374
Rey,7,1344,11937
Rey,8,1048,16203
Rey,9,1753,16716
Rey,10,2422,12398
Rey,11,1041,11447
Rey,12,605,9101
Rey,13,1350,8984
Rey,14,3930,8944
Tess,2,100,386
Tess,3,28,102
Tess,4,27,114
Tess,5,62,238
Tess,6,22,68
Tess,7,6,35
Tess,8,14,61
Tess,9,15,53
Tess,10,11,33
Tess,11,15,46
Tess,12,5,27
Tess,13,7,29
Tess,14,5,27
Bo,1,336,336
Bo,5,304,304
Bo,6,147,147
Bo,14,66,66
Mave,1,28,333
Mave,2,13,151
Mave,3,14,183
Mave,4,8,107
Mave,5,17,252
Mave,6,7,136
Mave,7,7,129
Mave,8,5,70
Mave,9,7,52
Mave,10,7,83
Mave,11,5,47
Mave,12,1,29
Mave,13,3,41
Mave,14,3,59
Rey,1,37256,100439
Rey,2,4284,43201
Rey,3,4215,61817
Rey,4,3480,30127
Rey,5,35301,81994
Rey,6,18806,43171
Rey,7,2870,34180
Rey,8,1103,17753
Rey,9,1903,13687
Rey,10,2409,19755
Rey,11,2177,16591
Rey,12,224,6294
Rey,13,376,9636
Rey,14,6801,16273
Tess,2,37,148
Tess,3,46,204
Tess,4,27,108
Tess,5,59,287
Tess,6,44,164
Tess,7,25,104
Tess,8,9,45
Tess,9,20,68
Tess,10,21,66
Tess,11,20,62
Tess,12,2,21
Tess,13,3,27
Tess,14,12,53
Bo,1,972,972
Bo,5,87,87
Bo,6,79,79
Bo,14,1,1
Mave,1,74,1063
Mave,2,17,174
Mave,3,16,185
Mave,4,1,33
Mave,5,8,85
Mave,6,1,80
Mave,7,2,18
Mave,8,2,23
Mave,9,2,15
Mave,11,2,11
Rey,1,98968,308705
Rey,2,5934,46606
Rey,3,6284,55671
Rey,4,840,9911
Rey,5,11231,24118
Rey,6,10376,23297
Rey,7,388,4424
Rey,8,815,6351
Rey,9,1124,4750
Rey,10,390,3703
Rey,11,419,3096
Rey,12,73,2248
Rey,14,531,917
Tess,2,41,147
Tess,3,50,187
Tess,4,6,37
Tess,5,15,64
Tess,6,26,86
Tess,7,3,13
Tess,8,6,16
Tess,9,6,19
Tess,10,2,9
Tess,11,5,13
Tess,12,1,11
Tess,14,2,4
Bo,1,1023,1023
Bo,5,96,96
Bo,6,23,23
Mave,1,76,1005
Mave,2,27,456
Mave,3,2,79
Mave,4,1,24
Mave,5,10,106
Mave,6,1,20
Mave,8,2,15
Mave,11,1,2
Rey,1,111543,297361
Rey,2,11771,117628
Rey,3,3219,24169
Rey,4,1060,8752
Rey,5,13056,28551
Rey,6,3147,6911
Rey,7,385,3825
Rey,8,255,3096
Rey,9,96,2509
Rey,11,86,724
Tess,2,86,381
Tess,3,22,75
Tess,4,8,31
Tess,5,28,76
Tess,6,3,23
Tess,7,4,16
Tess,9,1,11
Tess,11,1,5
Bo,1,970,970
Bo,5,143,143
Bo,6,35,35
Mave,1,71,942
Mave,2,13,205
Mave,3,14,215
Mave,4,4,45
Mave,5,11,142
Mave,6,2,40
Mave,8,1,27
Mave,9,1,6
Mave,12,1,7
Rey,1,95908,277996
Rey,2,5083,62302
Rey,3,4943,64758
Rey,4,1217,15440
Rey,5,20152,41334
Rey,6,4858,11341
Rey,7,463,6742
Rey,8,297,6919
Rey,9,164,1849
Rey,10,460,2159
Rey,11,59,1623
Rey,12,186,1427
Rey,13,10,659
Rey,14,136,369
Tess,2,48,212
Tess,3,59,226
Tess,4,10,47
Tess,5,44,140
Tess,6,13,42
Tess,7,4,11
Tess,8,3,12
Tess,9,2,8
Tess,10,6,10
Tess,11,1,4
Tess,12,2,6
Tess,14,1,3
Bo,6,2,2
Bo,14,1101,1101
Mave,4,1,5
Mave,8,1,8
Mave,10,4,12
Mave,11,4,15
Mave,12,3,41
Mave,13,24,449
Mave,14,94,1164
Rey,3,2,3
Rey,4,1,5
Rey,7,3,7
Rey,9,1,5
Rey,10,2,9
Rey,11,6,15
Rey,12,4,40
Rey,13,109,432
Rey,14,312,1123
Tess,2,7,38
Tess,3,58,211
Tess,4,371,1553
Tess,5,4,21
Tess,6,42,184
Tess,7,613,2513
Tess,8,548,2136
Tess,9,443,1648
Tess,10,885,3580
Tess,11,1080,4346
Tess,12,2673,10900
Tess,13,32394,129673
Tess,14,84425,338255
Bo,5,749,749
Bo,14,1,1
Mave,2,45,671
Mave,4,7,118
Mave,5,62,768
Mave,7,11,172
Rey,2,167,675
Rey,4,23,112
Rey,5,180,734
Rey,7,33,148
Rey,8,1,1
Tess,2,47368,188121
Tess,3,3,8
Tess,4,9264,37121
Tess,5,55749,224141
Tess,7,11082,44478
Tess,8,54,211
Tess,9,55,217
Tess,10,30,106
Tess,11,31,130
Tess,12,25,105
Tess,13,37,135
Tess,14,30,110
Bo,5,24,24
Bo,14,419,419
Mave,5,4,27
Mave,7,35,457
Mave,8,2,15
Mave,10,21,304
Mave,11,14,242
Mave,12,2,4
Mave,13,19,213
Mave,14,22,385
Rey,2,1,1
Rey,4,1,14
Rey,5,3,21
Rey,7,110,488
Rey,8,1,10
Rey,10,82,307
Rey,11,58,244
Rey,13,61,200
Rey,14,100,352
Tess,2,145,512
Tess,3,20,91
Tess,4,1213,4921
Tess,5,1418,5473
Tess,6,2,21
Tess,7,34057,136745
Tess,8,620,2562
Tess,9,347,1369
Tess,10,23387,92778
Tess,11,18569,74687
Tess,12,466,1836
Tess,13,16112,64258
Tess,14,27313,109690
Bo,5,2,2
Bo,6,2,2
Bo,14,606,606
Mave,7,2,13
Mave,10,5,20
Mave,11,3,10
Mave,12,5,41
Mave,13,66,938
Mave,14,39,655
Rey,3,1,3
Rey,4,2,4
Rey,7,5,10
Rey,8,2,10
Rey,9,1,5
Rey,10,3,20
Rey,11,3,11
Rey,12,4,39
Rey,13,224,915
Rey,14,163,624
Tess,2,159,602
Tess,3,47,231
Tess,4,263,1079
Tess,5,46,173
Tess,6,111,487
Tess,7,889,3482
Tess,8,996,3882
Tess,9,443,1648
Tess,10,1651,6573
Tess,11,654,2658
Tess,12,2703,10949
Tess,13,67442,270463
Tess,14,48225,192830
Bo,5,490,490
Mave,2,78,1130
Mave,4,2,37
Mave,5,40,537
Mave,7,2,26
Rey,2,269,1100
Rey,4,6,30
Rey,5,133,526
Rey,7,9,19
Tess,2,82166,330676
Tess,3,3,8
Tess,4,3064,12412
Tess,5,36751,146017
Tess,7,1435,5623
Tess,8,6,24
Tess,9,11,31
Tess,10,12,34
Tess,11,13,47
Tess,12,1,6
Bo,5,35,35
Bo,14,84,84
Mave,2,1,2
Mave,4,4,60
Mave,7,61,981
Mave,8,2,7
Mave,10,24,298
Mave,11,10,145
Mave,13,11,80
Mave,14,6,55
Rey,2,2,5
Rey,4,9,45
Rey,5,6,33
Rey,7,239,976
Rey,10,84,304
Rey,11,27,125
Rey,13,22,89
Rey,14,11,56
Tess,2,338,1275
Tess,3,137,531
Tess,4,4228,17443
Tess,5,2271,9234
Tess,6,2,20
Tess,7,71755,286890
Tess,8,295,1255
Tess,9,259,1054
Tess,10,23261,93036
Tess,11,9755,39278
Tess,12,129,548
Tess,13,6793,27414
Tess,14,4257,16964
Bo,1,6,6
Bo,5,96,96
Bo,6,102,102
Bo,14,611,611
Mave,2,2,14
Mave,3,1,18
Mave,4,2,23
Mave,5,8,100
Mave,6,10,124
Mave,7,12,164
Mave,8,10,114
Mave,9,1,25
Mave,10,6,58
Mave,11,5,60
Mave,12,3,46
Mave,13,24,336
Mave,14,47,626
Rey,2,4,13
Rey,3,5,20
Rey,4,5,23
Rey,5,23,94
Rey,6,21,90
Rey,7,41,142
Rey,8,31,107
Rey,9,10,25
Rey,10,11,53
