"network","population","median","IQR"
"lattice","bo",0.323269371256512,0.162759684409011
"lattice","epi",0.674968492605472,0.130809927201123
"lattice","tess",0.653124234026661,0.360426461632419
"lattice","mave",0.689078924027651,0.138328066983931
