"network","population","median","IQR"
"lattice","bo",0.136675050444107,0.0336542334680008
"lattice","epi",0.558697054940983,0.132192542078069
"lattice","tess",0.351367113806035,0.0922340816412129
"lattice","mave",0.401816318774886,0.0374240212049616
