"network","population","median","IQR"
"lattice","bo",0.0658048484848485,0.0222924242424242
"lattice","epi",0.628756363636364,0.1368625
"lattice","tess",0.219378636363636,0.138876136363636
"lattice","mave",0.548448484848485,0.155827272727273
