"network","population","median","IQR"
"small","bo",0.0668010606060606,0.0205349242424242
"small","epi",0.395142878787879,0.114025151515152
"small","mave",0.533671060606061,0.171638712121212
"small","tess",0.248722272727273,0.203923106060606
