"network","population","median","IQR"
"small","bo",0.136231828759359,0.0492473008534522
"small","epi",0.383798729027154,0.068992766882085
"small","mave",0.395175246634767,0.0585397902215916
"small","tess",0.376452314927041,0.108755521046922
