"population","network","median","IQR"
"bo","small",0.00154545454545455,0.00557575757575758
"epi","small",0.651469696969697,0.25294696969697
"mave","small",0.661439393939394,0.256507575757576
"tess","small",0.328727272727273,0.415212121212121
