"network","population","median","IQR"
"small","bo",0.311223519663934,0.182853349673203
"small","epi",0.641879280528036,0.113555036277332
"small","mave",0.678591666881819,0.111687645475439
"small","tess",0.646321381762815,0.268792257159815
