"population","network","median","IQR"
"bo","lattice",0.000666666666666667,0.00802272727272727
"epi","lattice",0.984795454545454,0.325261363636364
"tess","lattice",0.325193181818182,0.272926136363636
"mave","lattice",0.661712121212121,0.0422803030303029
