population,stickiness_median,stickiness_mean,stickiness_IQR,stickiness_SD
All,0.640386433351221,0.6144475665240196,0.42038395152913116,0.26231974268797303
Bo,0.6502936292614716,0.6261080334948897,0.3794621048818913,0.24213262306482264
Mave,0.6857813066863769,0.636113385332107,0.3821707503058387,0.2639079387909804
Tess,0.6010952028362708,0.5981008394595219,0.5557708593686909,0.2935266106038101
