population,TAT_median,TAT_mean,TAT_IQR,TAT_SD
All,0.93,0.587875925925926,0.99,0.45647617831068127
Bo,0.95,0.6078425925925925,0.97,0.44493980817146955
Mave,0.94,0.5894037037037037,0.99,0.4517513982129462
Tess,0.78,0.5262222222222223,0.99,0.4704008555158397
