population,TAT50_median,TAT50_mean,TAT50_IQR,TAT50_SD
All,0.0475205595780817,0.4246519774801788,0.9228703148565833,0.45137958533834766
Bo,0.4321644590039405,0.45788591390498107,0.922329039257572,0.4456845494990198
Mave,0.13358348968105066,0.4290422852516786,0.9112277538829782,0.4426887356757736
Tess,0,0.41660031389389923,0.9225589265793219,0.4543385977797349
