population,RR_median,RR_mean,RR_IQR,RR_SD
All,0.725086957892414,0.6011301883577082,0.6032601902874951,0.30570634220508175
Bo,0.7192622950819673,0.6618398797588034,0.3724004657488674,0.2519270103801102
Mave,0.748249591503268,0.5998803886284707,0.6043108200736986,0.30888162814156933
Tess,0.7582417582417582,0.6458682139350757,0.5473519792016102,0.2990004674030847
