population,FPTT_mean,FPTT_median,FPTT_IQR,FPTT_SD
All,133.82904241526208,62,108.5,305.60628860040407
Bo,94.2587037037037,58,94,120.79349278741188
Mave,135.61703703703705,64,119,264.887491635886
Tess,206.9833720030936,70,152,607.7061881961706
