orig_type,old_model,selected_model,count
Mave,3,10,8
Mave,3,11,3
Mave,3,12,5
Mave,3,13,6
Mave,3,14,9
Mave,4,1,14
Mave,4,2,8
Mave,4,3,12
Mave,4,5,9
Mave,4,6,13
Mave,4,7,7
Mave,4,8,12
Mave,4,9,15
Mave,4,10,15
Mave,4,11,12
Mave,4,12,17
Mave,4,13,18
Mave,4,14,14
Mave,5,1,12
Mave,5,2,8
Mave,5,3,16
Mave,5,4,14
Mave,5,6,16
Mave,5,7,14
Mave,5,8,17
Mave,5,9,12
Mave,5,10,17
Mave,5,11,19
Mave,5,12,15
Mave,5,13,15
Mave,5,14,12
Mave,6,1,17
Mave,6,2,12
Mave,6,3,9
Mave,6,4,15
Mave,6,5,23
Mave,6,7,17
Mave,6,8,11
Mave,6,9,10
Mave,6,10,10
Mave,6,11,21
Mave,6,12,19
Mave,6,13,11
Mave,6,14,7
Mave,7,1,27
Mave,7,2,27
Mave,7,3,20
Mave,7,4,20
Mave,7,5,21
Mave,7,6,22
Mave,7,8,16
Mave,7,9,25
Mave,7,10,25
Mave,7,11,20
Mave,7,12,27
Mave,7,13,24
Mave,7,14,18
Mave,8,1,25
Mave,8,2,23
Mave,8,3,18
Mave,8,4,23
Mave,8,5,22
Mave,8,6,20
Mave,8,7,21
Mave,8,9,32
Mave,8,10,16
Mave,8,11,15
Mave,8,12,17
Mave,8,13,33
Mave,8,14,16
Mave,9,1,22
Mave,9,2,16
Mave,9,3,20
Mave,9,4,17
Mave,9,5,20
Mave,9,6,28
Mave,9,7,21
Mave,9,8,25
Mave,9,10,28
Mave,9,11,21
Mave,9,12,17
Mave,9,13,22
Mave,9,14,20
Mave,10,1,89
Mave,10,2,108
Mave,10,3,117
Mave,10,4,105
Mave,10,5,90
Mave,10,6,98
Mave,10,7,102
Mave,10,8,100
Mave,10,9,81
Mave,10,11,105
Mave,10,12,84
Mave,10,13,85
Mave,10,14,103
Mave,11,1,92
Mave,11,2,100
Mave,11,3,105
Mave,11,4,98
Mave,11,5,98
Mave,11,6,98
Mave,11,7,89
Mave,11,8,102
Mave,11,9,119
Mave,11,10,94
Mave,11,12,96
Mave,11,13,97
Mave,11,14,92
Mave,12,1,90
Mave,12,2,101
Mave,12,3,86
Mave,12,4,101
Mave,12,5,94
Mave,12,6,82
Mave,12,7,87
Mave,12,8,94
Mave,12,9,86
Mave,12,10,107
Mave,12,11,93
Mave,12,13,100
Mave,12,14,102
Mave,13,1,5860
Mave,13,2,5726
Mave,13,3,5691
Mave,13,4,5736
Mave,13,5,5759
Mave,13,6,5714
Mave,13,7,5802
Mave,13,8,5851
Mave,13,9,5783
Mave,13,10,5828
Mave,13,11,5578
Mave,13,12,5769
Mave,13,14,5765
Mave,14,1,288
Mave,14,2,257
Mave,14,3,305
Mave,14,4,231
Mave,14,5,262
Mave,14,6,263
Mave,14,7,245
Mave,14,8,259
Mave,14,9,257
Mave,14,10,271
Mave,14,11,270
Mave,14,12,245
Mave,14,13,234
Tess,1,2,56
Tess,1,3,69
Tess,2,1,77
Tess,2,4,76
Tess,3,1,71
Tess,3,4,98
Tess,4,2,85
Tess,4,3,104
Tess,5,1,141
Tess,5,7,105
Tess,6,1,112
Tess,6,8,110
Tess,7,3,157
Tess,7,5,137
Tess,8,2,139
Tess,8,6,132
Tess,9,2,109
Tess,9,3,124
Tess,10,5,610
Tess,10,6,595
Tess,11,3,603
Tess,11,5,640
Tess,12,2,583
Tess,12,6,551
Tess,13,5,38365
Tess,13,6,38637
Tess,14,5,1485
Tess,14,6,1504
Bo,1,5,49
Bo,1,6,51
Bo,2,5,36471
Bo,3,6,66
Bo,4,7,470
Bo,4,8,460
Bo,4,9,442
Bo,5,2,2530
Bo,6,3,70
Bo,7,4,71
Bo,7,10,92
Bo,7,11,81
Bo,8,4,85
Bo,8,10,85
Bo,8,12,121
Bo,9,4,113
Bo,9,11,97
Bo,9,12,72
Bo,10,7,49
Bo,10,8,51
Bo,10,13,38
Bo,11,7,41
Bo,11,9,50
Bo,11,13,57
Bo,12,8,43
Bo,12,9,44
Bo,12,13,55
Bo,13,10,36
Bo,13,11,30
Bo,13,12,29
Bo,13,14,33
Bo,14,13,69
Mave,1,2,4
Mave,1,3,9
Mave,1,4,10
Mave,1,5,11
Mave,1,6,6
Mave,1,7,8
Mave,1,8,7
Mave,1,9,6
Mave,1,10,9
Mave,1,11,11
Mave,1,12,5
Mave,1,13,10
Mave,1,14,9
Mave,2,1,2679
Mave,2,3,2863
Mave,2,4,2771
Mave,2,5,2821
Mave,2,6,2708
Mave,2,7,2775
Mave,2,8,2696
Mave,2,9,2756
Mave,2,10,2711
Mave,2,11,2733
Mave,2,12,2821
Mave,2,13,2857
Mave,2,14,2748
Mave,3,1,9
Mave,3,2,4
Mave,3,4,3
Mave,3,5,2
Mave,3,6,6
Mave,3,7,3
Mave,3,8,4
Mave,3,9,4
Mave,3,10,5
Mave,3,11,2
Mave,3,12,5
Mave,3,13,2
Mave,3,14,5
Mave,4,1,109
Mave,4,2,97
Mave,4,3,128
Mave,4,5,132
Mave,4,6,117
Mave,4,7,118
Mave,4,8,113
Mave,4,9,116
Mave,4,10,125
Mave,4,11,122
Mave,4,12,112
Mave,4,13,127
Mave,4,14,131
Mave,5,1,111
Mave,5,2,142
Mave,5,3,135
Mave,5,4,148
Mave,5,6,152
Mave,5,7,132
Mave,5,8,120
Mave,5,9,150
Mave,5,10,149
Mave,5,11,146
Mave,5,12,130
Mave,5,13,158
Mave,5,14,123
Mave,6,1,6
Mave,6,2,5
Mave,6,3,4
Mave,6,4,2
Mave,6,5,4
Mave,6,7,6
Mave,6,8,5
Mave,6,9,4
Mave,6,10,4
Mave,6,11,3
Mave,6,12,2
Mave,6,13,4
Mave,6,14,3
Mave,7,1,22
Mave,7,2,16
Mave,7,3,32
Mave,7,4,26
Mave,7,5,31
Mave,7,6,28
Mave,7,8,22
Mave,7,9,26
Mave,7,10,25
Mave,7,11,28
Mave,7,12,27
Mave,7,13,22
Mave,7,14,25
Mave,8,1,33
Mave,8,2,30
Mave,8,3,26
Mave,8,4,26
Mave,8,5,27
Mave,8,6,30
Mave,8,7,30
Mave,8,9,24
Mave,8,10,29
Mave,8,11,25
Mave,8,12,20
Mave,8,13,37
Mave,8,14,22
Mave,9,1,27
Mave,9,2,25
Mave,9,3,39
Mave,9,4,38
Mave,9,5,32
Mave,9,6,30
Mave,9,7,34
Mave,9,8,22
Mave,9,10,25
Mave,9,11,27
Mave,9,12,30
Mave,9,13,25
Mave,9,14,32
Mave,10,1,10
Mave,10,2,16
Mave,10,3,19
Mave,10,4,17
Mave,10,5,17
Mave,10,6,13
Mave,10,7,15
Mave,10,8,17
Mave,10,9,14
Mave,10,11,22
Mave,10,12,14
Mave,10,13,21
Mave,10,14,13
Mave,11,1,9
Mave,11,2,9
Mave,11,3,20
Mave,11,4,13
Mave,11,5,23
Mave,11,6,20
Mave,11,7,17
Mave,11,8,13
Mave,11,9,18
Mave,11,10,18
Mave,11,12,18
Mave,11,13,11
Mave,11,14,14
Mave,12,1,7
Mave,12,2,16
Mave,12,3,22
Mave,12,4,12
Mave,12,5,20
Mave,12,6,14
Mave,12,7,16
Mave,12,8,18
Mave,12,9,19
Mave,12,10,26
Mave,12,11,19
Mave,12,13,24
Mave,12,14,18
Mave,13,1,6
Mave,13,2,13
Mave,13,3,8
Mave,13,4,19
Mave,13,5,14
Mave,13,6,10
Mave,13,7,16
Mave,13,8,9
Mave,13,9,9
Mave,13,10,13
Mave,13,11,5
Mave,13,12,7
Mave,13,14,9
Mave,14,1,13
Mave,14,2,3
Mave,14,3,9
Mave,14,4,8
Mave,14,5,10
Mave,14,6,8
Mave,14,7,12
Mave,14,8,18
Mave,14,9,10
Mave,14,10,12
Mave,14,11,8
Mave,14,12,13
Mave,14,13,12
Tess,1,2,93
Tess,1,3,57
Tess,2,1,18823
Tess,2,4,18491
Tess,3,1,33
Tess,3,4,35
Tess,4,2,922
Tess,4,3,898
Tess,5,1,846
Tess,5,7,844
Tess,6,1,26
Tess,6,8,22
Tess,7,3,147
Tess,7,5,133
Tess,8,2,119
Tess,8,6,135
Tess,9,2,110
Tess,9,3,133
Tess,10,5,60
Tess,10,6,67
Tess,11,3,74
Tess,11,5,67
Tess,12,2,66
Tess,12,6,72
Tess,13,5,61
Tess,13,6,55
Tess,14,5,45
Tess,14,6,37
Bo,1,5,85
Bo,1,6,61
Bo,2,5,62041
Bo,3,6,109
Bo,4,7,629
Bo,4,8,646
Bo,4,9,641
Bo,5,2,4352
Bo,6,3,76
Bo,7,4,147
Bo,7,10,143
Bo,7,11,148
Bo,8,4,159
Bo,8,10,128
Bo,8,12,147
Bo,9,4,165
Bo,9,11,147
Bo,9,12,145
Bo,10,7,54
Bo,10,8,83
Bo,10,13,86
Bo,11,7,62
Bo,11,9,82
Bo,11,13,64
Bo,12,8,76
Bo,12,9,71
Bo,12,13,68
Bo,13,10,38
Bo,13,11,41
Bo,13,12,46
Bo,13,14,40
Bo,14,13,117
Mave,1,2,12
Mave,1,3,15
Mave,1,4,15
Mave,1,5,15
Mave,1,6,7
Mave,1,7,15
Mave,1,8,8
Mave,1,9,7
Mave,1,10,12
Mave,1,11,11
Mave,1,12,9
Mave,1,13,20
Mave,1,14,14
Mave,2,1,4680
Mave,2,3,4713
Mave,2,4,4801
Mave,2,5,4586
Mave,2,6,4763
Mave,2,7,4659
Mave,2,8,4776
Mave,2,9,4714
Mave,2,10,4673
Mave,2,11,4654
Mave,2,12,4730
Mave,2,13,4706
Mave,2,14,4779
Mave,3,1,9
Mave,3,2,5
Mave,3,4,9
Mave,3,5,8
Mave,3,6,9
Mave,3,7,9
Mave,3,8,7
Mave,3,9,8
Mave,3,10,4
Mave,3,11,6
Mave,3,12,8
Mave,3,13,6
Mave,3,14,7
Mave,4,1,162
Mave,4,2,171
Mave,4,3,182
Mave,4,5,163
Mave,4,6,178
Mave,4,7,184
Mave,4,8,181
Mave,4,9,204
Mave,4,10,176
Mave,4,11,133
Mave,4,12,173
Mave,4,13,146
Mave,4,14,172
Mave,5,1,217
Mave,5,2,195
Mave,5,3,175
Mave,5,4,185
Mave,5,6,204
Mave,5,7,202
Mave,5,8,200
Mave,5,9,198
Mave,5,10,210
Mave,5,11,224
Mave,5,12,202
Mave,5,13,209
Mave,5,14,212
Mave,6,1,2
Mave,6,2,9
Mave,6,3,10
Mave,6,4,6
Mave,6,5,7
Mave,6,7,9
Mave,6,8,7
Mave,6,9,4
Mave,6,10,13
Mave,6,11,7
Mave,6,12,6
Mave,6,13,8
Mave,6,14,6
Mave,7,1,42
Mave,7,2,37
Mave,7,3,41
Mave,7,4,59
Mave,7,5,35
Mave,7,6,50
Mave,7,8,47
Mave,7,9,33
Mave,7,10,57
Mave,7,11,49
Mave,7,12,50
Mave,7,13,42
Mave,7,14,40
Mave,8,1,53
Mave,8,2,67
Mave,8,3,47
Mave,8,4,32
Mave,8,5,48
Mave,8,6,45
Mave,8,7,52
Mave,8,9,48
Mave,8,10,44
Mave,8,11,48
Mave,8,12,49
Mave,8,13,52
Mave,8,14,52
Mave,9,1,51
Mave,9,2,40
Mave,9,3,57
Mave,9,4,52
Mave,9,5,53
Mave,9,6,39
Mave,9,7,55
Mave,9,8,55
Mave,9,10,50
Mave,9,11,54
Mave,9,12,55
Mave,9,13,54
Mave,9,14,63
Mave,10,1,17
Mave,10,2,32
Mave,10,3,27
Mave,10,4,32
Mave,10,5,27
Mave,10,6,18
Mave,10,7,30
Mave,10,8,15
Mave,10,9,30
Mave,10,11,24
Mave,10,12,30
Mave,10,13,31
Mave,10,14,26
Mave,11,1,27
Mave,11,2,32
Mave,11,3,28
Mave,11,4,32
Mave,11,5,23
Mave,11,6,30
Mave,11,7,24
Mave,11,8,34
Mave,11,9,24
Mave,11,10,24
Mave,11,12,31
Mave,11,13,25
Mave,11,14,30
Mave,12,1,28
Mave,12,2,24
Mave,12,3,27
Mave,12,4,33
Mave,12,5,24
Mave,12,6,37
Mave,12,7,28
Mave,12,8,26
Mave,12,9,26
Mave,12,10,33
Mave,12,11,33
Mave,12,13,25
Mave,12,14,25
Mave,13,1,34
Mave,13,2,25
Mave,13,3,27
Mave,13,4,22
Mave,13,5,17
Mave,13,6,22
Mave,13,7,28
Mave,13,8,30
Mave,13,9,26
Mave,13,10,22
Mave,13,11,12
Mave,13,12,27
Mave,13,14,27
Mave,14,1,21
Mave,14,2,24
Mave,14,3,16
Mave,14,4,20
Mave,14,5,15
Mave,14,6,14
Mave,14,7,19
Mave,14,8,11
Mave,14,9,14
Mave,14,10,21
Mave,14,11,27
Mave,14,12,20
Mave,14,13,10
Tess,1,2,136
Tess,1,3,151
Tess,2,1,31584
Tess,2,4,31747
Tess,3,1,50
Tess,3,4,43
Tess,4,2,1613
Tess,4,3,1523
Tess,5,1,1236
Tess,5,7,1232
Tess,6,1,36
Tess,6,8,30
Tess,7,3,196
Tess,7,5,186
Tess,8,2,175
Tess,8,6,213
Tess,9,2,179
Tess,9,3,195
Tess,10,5,96
Tess,10,6,105
Tess,11,3,117
Tess,11,5,110
Tess,12,2,98
Tess,12,6,103
Tess,13,5,97
Tess,13,6,87
Tess,14,5,66
Tess,14,6,76
Bo,1,5,26
Bo,1,6,31
Bo,2,5,84
Bo,3,6,134
Bo,4,7,129
Bo,4,8,121
Bo,4,9,131
Bo,5,2,355
Bo,6,3,66
Bo,7,4,12392
Bo,7,10,12196
Bo,7,11,12189
Bo,8,4,45
Bo,8,10,45
Bo,8,12,51
Bo,9,4,49
Bo,9,11,46
Bo,9,12,51
Bo,10,7,771
Bo,10,8,747
Bo,10,13,792
Bo,11,7,795
Bo,11,9,736
Bo,11,13,721
Bo,12,8,41
Bo,12,9,35
Bo,12,13,31
Bo,13,10,150
Bo,13,11,157
Bo,13,12,161
Bo,13,14,154
Bo,14,13,254
Mave,1,2,3
Mave,1,3,5
Mave,1,4,8
Mave,1,5,6
Mave,1,6,3
Mave,1,7,2
Mave,1,8,5
Mave,1,9,4
Mave,1,10,5
Mave,1,11,3
Mave,1,12,4
Mave,1,13,5
Mave,1,14,5
Mave,2,1,8
Mave,2,3,10
Mave,2,4,4
Mave,2,5,3
Mave,2,6,4
Mave,2,7,10
Mave,2,8,9
Mave,2,9,9
Mave,2,10,5
Mave,2,11,4
Mave,2,12,9
Mave,2,13,6
Mave,2,14,8
Mave,3,1,8
Mave,3,2,7
Mave,3,4,6
Mave,3,5,8
Mave,3,6,7
Mave,3,7,7
Mave,3,8,3
Mave,3,9,11
Mave,3,10,11
Mave,3,11,2
Mave,3,12,4
Mave,3,13,5
Mave,3,14,7
Mave,4,1,24
Mave,4,2,24
Mave,4,3,21
Mave,4,5,28
Mave,4,6,26
Mave,4,7,31
Mave,4,8,26
Mave,4,9,29
Mave,4,10,39
Mave,4,11,31
Mave,4,12,25
Mave,4,13,26
Mave,4,14,20
Mave,5,1,30
Mave,5,2,21
Mave,5,3,22
Mave,5,4,26
Mave,5,6,27
Mave,5,7,26
Mave,5,8,29
Mave,5,9,21
Mave,5,10,29
Mave,5,11,29
Mave,5,12,30
Mave,5,13,18
Mave,5,14,23
Mave,6,1,5
Mave,6,2,4
Mave,6,3,6
Mave,6,4,5
Mave,6,5,6
Mave,6,7,8
Mave,6,8,6
Mave,6,9,6
Mave,6,10,12
Mave,6,11,7
Mave,6,12,8
Mave,6,13,5
Mave,6,14,4
Mave,7,1,2856
Mave,7,2,2909
Mave,7,3,2812
Mave,7,4,2884
Mave,7,5,2915
Mave,7,6,2808
Mave,7,8,2868
Mave,7,9,2855
Mave,7,10,2863
Mave,7,11,2766
Mave,7,12,2819
Mave,7,13,2862
Mave,7,14,2836
Mave,8,1,12
Mave,8,2,9
Mave,8,3,11
Mave,8,4,10
Mave,8,5,15
Mave,8,6,11
Mave,8,7,11
Mave,8,9,20
Mave,8,10,11
Mave,8,11,9
Mave,8,12,26
Mave,8,13,14
Mave,8,14,6
Mave,9,1,18
Mave,9,2,8
Mave,9,3,21
Mave,9,4,10
Mave,9,5,9
Mave,9,6,12
Mave,9,7,11
Mave,9,8,8
Mave,9,10,21
Mave,9,11,8
Mave,9,12,6
Mave,9,13,9
Mave,9,14,18
Mave,10,1,131
Mave,10,2,151
Mave,10,3,159
Mave,10,4,151
Mave,10,5,139
Mave,10,6,146
Mave,10,7,146
Mave,10,8,154
Mave,10,9,156
Mave,10,11,150
Mave,10,12,175
Mave,10,13,134
Mave,10,14,166
Mave,11,1,129
Mave,11,2,157
Mave,11,3,131
Mave,11,4,137
Mave,11,5,141
Mave,11,6,139
Mave,11,7,132
Mave,11,8,147
Mave,11,9,168
Mave,11,10,143
Mave,11,12,143
Mave,11,13,142
Mave,11,14,147
Mave,12,1,8
Mave,12,2,13
Mave,12,3,11
Mave,12,4,9
Mave,12,5,8
Mave,12,6,12
Mave,12,7,10
Mave,12,8,7
Mave,12,9,7
Mave,12,10,5
Mave,12,11,8
Mave,12,13,10
Mave,12,14,7
Mave,13,1,66
Mave,13,2,55
Mave,13,3,58
Mave,13,4,61
Mave,13,5,39
Mave,13,6,56
Mave,13,7,49
Mave,13,8,53
Mave,13,9,45
Mave,13,10,49
Mave,13,11,38
Mave,13,12,45
Mave,13,14,59
Mave,14,1,38
Mave,14,2,39
Mave,14,3,35
Mave,14,4,34
Mave,14,5,39
Mave,14,6,33
Mave,14,7,34
Mave,14,8,43
Mave,14,9,43
Mave,14,10,38
Mave,14,11,24
Mave,14,12,33
Mave,14,13,31
Tess,1,2,29
Tess,1,3,29
Tess,2,1,53
Tess,2,4,53
Tess,3,1,62
Tess,3,4,52
Tess,4,2,142
Tess,4,3,190
Tess,5,1,238
Tess,5,7,218
Tess,6,1,38
Tess,6,8,35
Tess,7,3,19110
Tess,7,5,19318
Tess,8,2,70
Tess,8,6,65
Tess,9,2,80
Tess,9,3,73
Tess,10,5,939
Tess,10,6,946
Tess,11,3,860
Tess,11,5,934
Tess,12,2,45
Tess,12,6,45
Tess,13,5,298
Tess,13,6,296
Tess,14,5,170
Tess,14,6,161
Bo,1,5,45
Bo,1,6,39
Bo,2,5,145
Bo,3,6,183
Bo,4,7,239
Bo,4,8,242
Bo,4,9,243
Bo,5,2,599
Bo,6,3,105
Bo,7,4,21495
Bo,7,10,20983
Bo,7,11,20897
Bo,8,4,72
Bo,8,10,73
Bo,8,12,65
Bo,9,4,81
Bo,9,11,72
Bo,9,12,52
Bo,10,7,1236
Bo,10,8,1201
Bo,10,13,1234
Bo,11,7,1234
Bo,11,9,1262
Bo,11,13,1201
Bo,12,8,46
Bo,12,9,38
Bo,12,13,41
Bo,13,10,259
Bo,13,11,267
Bo,13,12,221
Bo,13,14,253
Bo,14,13,403
Mave,1,2,6
Mave,1,3,10
Mave,1,4,11
Mave,1,5,7
Mave,1,6,4
Mave,1,7,6
Mave,1,8,4
Mave,1,9,4
Mave,1,10,12
Mave,1,11,5
Mave,1,12,6
Mave,1,13,5
Mave,1,14,10
Mave,2,1,10
Mave,2,3,11
Mave,2,4,8
Mave,2,5,8
Mave,2,6,10
Mave,2,7,8
Mave,2,8,13
Mave,2,9,12
Mave,2,10,18
Mave,2,11,11
Mave,2,12,10
Mave,2,13,13
Mave,2,14,15
Mave,3,1,10
Mave,3,2,12
Mave,3,4,10
Mave,3,5,13
Mave,3,6,14
Mave,3,7,13
Mave,3,8,11
Mave,3,9,7
Mave,3,10,14
Mave,3,11,8
Mave,3,12,8
Mave,3,13,13
Mave,3,14,12
Mave,4,1,54
Mave,4,2,52
Mave,4,3,48
Mave,4,5,43
Mave,4,6,46
Mave,4,7,49
Mave,4,8,45
Mave,4,9,43
Mave,4,10,37
Mave,4,11,49
Mave,4,12,48
Mave,4,13,55
Mave,4,14,40
Mave,5,1,44
Mave,5,2,47
Mave,5,3,49
Mave,5,4,38
Mave,5,6,47
Mave,5,7,34
Mave,5,8,47
Mave,5,9,51
Mave,5,10,48
Mave,5,11,53
Mave,5,12,46
Mave,5,13,39
Mave,5,14,54
Mave,6,1,5
Mave,6,2,12
Mave,6,3,18
Mave,6,4,5
Mave,6,5,7
Mave,6,7,7
Mave,6,8,6
Mave,6,9,8
Mave,6,10,6
Mave,6,11,7
Mave,6,12,10
Mave,6,13,12
Mave,6,14,7
Mave,7,1,4985
Mave,7,2,5037
Mave,7,3,5045
Mave,7,4,4857
Mave,7,5,4965
Mave,7,6,5016
Mave,7,8,5006
Mave,7,9,4949
Mave,7,10,4885
Mave,7,11,4862
Mave,7,12,4916
Mave,7,13,4868
Mave,7,14,4892
Mave,8,1,23
Mave,8,2,18
Mave,8,3,20
Mave,8,4,16
Mave,8,5,30
Mave,8,6,18
Mave,8,7,20
Mave,8,9,23
Mave,8,10,13
Mave,8,11,21
Mave,8,12,16
Mave,8,13,16
Mave,8,14,17
Mave,9,1,16
Mave,9,2,13
Mave,9,3,20
Mave,9,4,8
Mave,9,5,29
Mave,9,6,14
Mave,9,7,20
Mave,9,8,15
Mave,9,10,10
Mave,9,11,21
Mave,9,12,14
Mave,9,13,14
Mave,9,14,15
Mave,10,1,214
Mave,10,2,225
Mave,10,3,232
Mave,10,4,239
Mave,10,5,218
Mave,10,6,263
Mave,10,7,233
Mave,10,8,229
Mave,10,9,227
Mave,10,11,230
Mave,10,12,235
Mave,10,13,236
Mave,10,14,230
Mave,11,1,237
Mave,11,2,216
Mave,11,3,223
Mave,11,4,212
Mave,11,5,231
Mave,11,6,243
Mave,11,7,244
Mave,11,8,241
Mave,11,9,229
Mave,11,10,229
Mave,11,12,211
