replica,population,network,sigma,true_model,net_size,colab_cond,first_row,first_study,orig_agents,switch_testing,extra_agents,FPTT
1,All,Lattice,0.2,13,413,COLAB,16,54,10,8,9,41.5
2,All,Lattice,0.2,13,413,COLAB,7,32,1,6,0,26
3,All,Lattice,0.2,13,413,COLAB,16,108,10,6,9,97.5
4,All,Lattice,0.2,13,413,COLAB,5,22,10,4,9,13.5
5,All,Lattice,0.2,13,413,COLAB,53,221,1,6,0,215
6,All,Lattice,0.2,13,413,COLAB,11,63,10,8,9,50.5
7,All,Lattice,0.2,13,413,COLAB,23,140,1,5,0,135
8,All,Lattice,0.2,13,413,COLAB,18,72,1,5,0,67
9,All,Lattice,0.2,13,413,COLAB,4,29,10,11,9,13.5
10,All,Lattice,0.2,13,413,COLAB,20,66,10,5,9,56.5
11,All,Lattice,0.2,13,413,COLAB,3,18,1,5,0,13
12,All,Lattice,0.2,13,413,COLAB,12,60,1,4,0,56
13,All,Lattice,0.2,13,413,COLAB,23,119,10,7,9,107.5
14,All,Lattice,0.2,13,413,COLAB,33,146,1,5,0,141
15,All,Lattice,0.2,13,413,COLAB,10,39,1,5,0,34
16,All,Lattice,0.2,13,413,COLAB,15,63,1,5,0,58
17,All,Lattice,0.2,13,413,COLAB,8,26,1,5,0,21
18,All,Lattice,0.2,13,413,COLAB,7,44,1,5,0,39
19,All,Lattice,0.2,13,413,COLAB,40,170,1,4,0,166
20,All,Lattice,0.2,13,413,COLAB,38,199,10,8,9,186.5
21,All,Lattice,0.2,13,413,COLAB,1,5,1,4,0,1
22,All,Lattice,0.2,13,413,COLAB,1,6,1,5,0,1
23,All,Lattice,0.2,13,413,COLAB,10,29,1,4,0,25
24,All,Lattice,0.2,13,413,COLAB,13,46,1,6,0,40
25,All,Lattice,0.2,13,413,COLAB,11,51,1,6,0,45
26,All,Lattice,0.2,13,413,COLAB,28,92,10,7,9,80.5
27,All,Lattice,0.2,13,413,COLAB,19,87,1,6,0,81
28,All,Lattice,0.2,13,413,COLAB,11,55,1,5,0,50
29,All,Lattice,0.2,13,413,COLAB,8,35,1,5,0,30
30,All,Lattice,0.2,13,413,COLAB,8,44,10,8,9,31.5
31,All,Lattice,0.2,13,413,COLAB,54,243,1,5,0,238
32,All,Lattice,0.2,13,413,COLAB,1,7,1,6,0,1
33,All,Lattice,0.2,13,413,COLAB,15,84,1,5,0,79
34,All,Lattice,0.2,13,413,COLAB,18,72,1,5,0,67
35,All,Lattice,0.2,13,413,COLAB,5,21,1,5,0,16
36,All,Lattice,0.2,13,413,COLAB,42,194,1,6,0,188
37,All,Lattice,0.2,13,413,COLAB,9,44,10,7,9,32.5
38,All,Lattice,0.2,13,413,COLAB,12,64,10,7,9,52.5
39,All,Lattice,0.2,13,413,COLAB,10,42,1,5,0,37
40,All,Lattice,0.2,13,413,COLAB,21,117,1,5,0,112
41,All,Lattice,0.2,13,413,COLAB,2,11,1,4,0,7
42,All,Lattice,0.2,13,413,COLAB,12,48,1,6,0,42
43,All,Lattice,0.2,13,413,COLAB,17,83,10,7,9,71.5
44,All,Lattice,0.2,13,413,COLAB,13,77,1,5,0,72
45,All,Lattice,0.2,13,413,COLAB,3,28,1,4,0,24
46,All,Lattice,0.2,13,413,COLAB,6,55,1,5,0,50
47,All,Lattice,0.2,13,413,COLAB,1,7,1,6,0,1
48,All,Lattice,0.2,13,413,COLAB,12,51,10,7,9,39.5
49,All,Lattice,0.2,13,413,COLAB,32,136,10,8,9,123.5
50,All,Lattice,0.2,13,413,COLAB,9,53,10,6,9,42.5
1,All,Lattice,0.2,13,413,NOLAB,22,59,1,6,0,53
2,All,Lattice,0.2,13,413,NOLAB,8,22,1,5,0,17
3,All,Lattice,0.2,13,413,NOLAB,4,20,1,6,0,14
4,All,Lattice,0.2,13,413,NOLAB,6,15,1,5,0,10
5,All,Lattice,0.2,13,413,NOLAB,20,75,1,5,0,70
6,All,Lattice,0.2,13,413,NOLAB,12,57,1,5,0,52
7,All,Lattice,0.2,13,413,NOLAB,17,68,1,5,0,63
8,All,Lattice,0.2,13,413,NOLAB,18,72,1,5,0,67
9,All,Lattice,0.2,13,413,NOLAB,11,27,1,3,0,24
10,All,Lattice,0.2,13,413,NOLAB,32,92,1,4,0,88
11,All,Lattice,0.2,13,413,NOLAB,3,18,1,5,0,13
12,All,Lattice,0.2,13,413,NOLAB,46,171,1,4,0,167
13,All,Lattice,0.2,13,413,NOLAB,15,54,1,5,0,49
14,All,Lattice,0.2,13,413,NOLAB,25,84,1,6,0,78
15,All,Lattice,0.2,13,413,NOLAB,8,33,1,4,0,29
16,All,Lattice,0.2,13,413,NOLAB,3,8,1,5,0,3
17,All,Lattice,0.2,13,413,NOLAB,35,104,1,5,0,99
18,All,Lattice,0.2,13,413,NOLAB,25,82,1,4,0,78
19,All,Lattice,0.2,13,413,NOLAB,2,7,1,5,0,2
20,All,Lattice,0.2,13,413,NOLAB,34,114,1,5,0,109
21,All,Lattice,0.2,13,413,NOLAB,1,5,1,4,0,1
22,All,Lattice,0.2,13,413,NOLAB,1,6,1,5,0,1
23,All,Lattice,0.2,13,413,NOLAB,10,29,1,4,0,25
24,All,Lattice,0.2,13,413,NOLAB,13,39,1,6,0,33
25,All,Lattice,0.2,13,413,NOLAB,16,46,1,5,0,41
26,All,Lattice,0.2,13,413,NOLAB,29,83,1,6,0,77
27,All,Lattice,0.2,13,413,NOLAB,19,73,1,6,0,67
28,All,Lattice,0.2,13,413,NOLAB,15,55,1,5,0,50
29,All,Lattice,0.2,13,413,NOLAB,7,24,1,6,0,18
30,All,Lattice,0.2,13,413,NOLAB,24,90,1,4,0,86
31,All,Lattice,0.2,13,413,NOLAB,11,46,1,6,0,40
32,All,Lattice,0.2,13,413,NOLAB,1,7,1,6,0,1
33,All,Lattice,0.2,13,413,NOLAB,14,58,1,6,0,52
34,All,Lattice,0.2,13,413,NOLAB,18,72,1,5,0,67
35,All,Lattice,0.2,13,413,NOLAB,5,21,1,5,0,16
36,All,Lattice,0.2,13,413,NOLAB,15,52,1,5,0,47
37,All,Lattice,0.2,13,413,NOLAB,14,53,1,5,0,48
38,All,Lattice,0.2,13,413,NOLAB,8,23,1,5,0,18
39,All,Lattice,0.2,13,413,NOLAB,10,27,1,5,0,22
40,All,Lattice,0.2,13,413,NOLAB,21,52,1,5,0,47
41,All,Lattice,0.2,13,413,NOLAB,2,11,1,4,0,7
42,All,Lattice,0.2,13,413,NOLAB,3,9,1,6,0,3
43,All,Lattice,0.2,13,413,NOLAB,8,28,1,6,0,22
44,All,Lattice,0.2,13,413,NOLAB,28,66,1,6,0,60
45,All,Lattice,0.2,13,413,NOLAB,5,25,1,5,0,20
46,All,Lattice,0.2,13,413,NOLAB,37,111,1,6,0,105
47,All,Lattice,0.2,13,413,NOLAB,1,7,1,6,0,1
48,All,Lattice,0.2,13,413,NOLAB,1,6,1,5,0,1
49,All,Lattice,0.2,13,413,NOLAB,10,30,1,4,0,26
50,All,Lattice,0.2,13,413,NOLAB,5,21,1,5,0,16
1,All,Lattice,0.2,2,413,COLAB,5,33,1,6,0,27
2,All,Lattice,0.2,2,413,COLAB,10,44,1,5,0,39
3,All,Lattice,0.2,2,413,COLAB,1,6,1,5,0,1
4,All,Lattice,0.2,2,413,COLAB,6,22,1,5,0,17
5,All,Lattice,0.2,2,413,COLAB,1,6,1,5,0,1
6,All,Lattice,0.2,2,413,COLAB,1,6,1,5,0,1
7,All,Lattice,0.2,2,413,COLAB,30,148,1,5,0,143
8,All,Lattice,0.2,2,413,COLAB,14,69,1,4,0,65
9,All,Lattice,0.2,2,413,COLAB,5,29,1,6,0,23
10,All,Lattice,0.2,2,413,COLAB,5,26,1,6,0,20
11,All,Lattice,0.2,2,413,COLAB,7,21,1,5,0,16
12,All,Lattice,0.2,2,413,COLAB,2,7,1,5,0,2
13,All,Lattice,0.2,2,413,COLAB,26,133,1,6,0,127
14,All,Lattice,0.2,2,413,COLAB,5,26,10,8,9,13.5
15,All,Lattice,0.2,2,413,COLAB,2,24,1,6,0,18
16,All,Lattice,0.2,2,413,COLAB,10,52,1,4,0,48
17,All,Lattice,0.2,2,413,COLAB,10,72,1,5,0,67
18,All,Lattice,0.2,2,413,COLAB,6,42,10,8,9,29.5
19,All,Lattice,0.2,2,413,COLAB,11,59,1,5,0,54
20,All,Lattice,0.2,2,413,COLAB,6,32,1,5,0,27
21,All,Lattice,0.2,2,413,COLAB,16,62,1,6,0,56
22,All,Lattice,0.2,2,413,COLAB,7,35,1,5,0,30
23,All,Lattice,0.2,2,413,COLAB,27,123,10,7,9,111.5
24,All,Lattice,0.2,2,413,COLAB,19,107,1,6,0,101
25,All,Lattice,0.2,2,413,COLAB,5,51,1,6,0,45
26,All,Lattice,0.2,2,413,COLAB,36,249,1,4,0,245
27,All,Lattice,0.2,2,413,COLAB,1,5,1,4,0,1
28,All,Lattice,0.2,2,413,COLAB,4,20,1,5,0,15
29,All,Lattice,0.2,2,413,COLAB,3,19,1,6,0,13
30,All,Lattice,0.2,2,413,COLAB,21,113,1,4,0,109
31,All,Lattice,0.2,2,413,COLAB,14,47,1,4,0,43
32,All,Lattice,0.2,2,413,COLAB,4,20,1,5,0,15
33,All,Lattice,0.2,2,413,COLAB,5,31,1,4,0,27
34,All,Lattice,0.2,2,413,COLAB,14,69,1,4,0,65
35,All,Lattice,0.2,2,413,COLAB,13,89,1,5,0,84
36,All,Lattice,0.2,2,413,COLAB,11,63,10,7,9,51.5
37,All,Lattice,0.2,2,413,COLAB,14,69,10,6,9,58.5
38,All,Lattice,0.2,2,413,COLAB,9,54,1,6,0,48
39,All,Lattice,0.2,2,413,COLAB,15,107,1,6,0,101
40,All,Lattice,0.2,2,413,COLAB,24,115,10,5,9,105.5
41,All,Lattice,0.2,2,413,COLAB,4,10,1,6,0,4
42,All,Lattice,0.2,2,413,COLAB,27,134,1,5,0,129
43,All,Lattice,0.2,2,413,COLAB,22,92,1,4,0,88
44,All,Lattice,0.2,2,413,COLAB,5,42,10,8,9,29.5
45,All,Lattice,0.2,2,413,COLAB,5,31,1,5,0,26
46,All,Lattice,0.2,2,413,COLAB,5,44,10,7,9,32.5
47,All,Lattice,0.2,2,413,COLAB,11,42,1,5,0,37
48,All,Lattice,0.2,2,413,COLAB,2,15,1,4,0,11
49,All,Lattice,0.2,2,413,COLAB,3,19,1,6,0,13
50,All,Lattice,0.2,2,413,COLAB,24,102,1,5,0,97
1,All,Lattice,0.2,2,413,NOLAB,9,39,1,6,0,33
2,All,Lattice,0.2,2,413,NOLAB,10,44,1,5,0,39
3,All,Lattice,0.2,2,413,NOLAB,1,6,1,5,0,1
4,All,Lattice,0.2,2,413,NOLAB,6,22,1,5,0,17
5,All,Lattice,0.2,2,413,NOLAB,1,6,1,5,0,1
6,All,Lattice,0.2,2,413,NOLAB,1,6,1,5,0,1
7,All,Lattice,0.2,2,413,NOLAB,33,85,1,6,0,79
8,All,Lattice,0.2,2,413,NOLAB,12,59,1,5,0,54
9,All,Lattice,0.2,2,413,NOLAB,17,64,1,6,0,58
10,All,Lattice,0.2,2,413,NOLAB,5,26,1,6,0,20
11,All,Lattice,0.2,2,413,NOLAB,7,21,1,5,0,16
12,All,Lattice,0.2,2,413,NOLAB,2,7,1,5,0,2
13,All,Lattice,0.2,2,413,NOLAB,46,176,1,6,0,170
14,All,Lattice,0.2,2,413,NOLAB,13,38,1,5,0,33
15,All,Lattice,0.2,2,413,NOLAB,2,13,1,6,0,7
16,All,Lattice,0.2,2,413,NOLAB,31,114,1,6,0,108
17,All,Lattice,0.2,2,413,NOLAB,3,13,1,4,0,9
18,All,Lattice,0.2,2,413,NOLAB,11,36,1,6,0,30
19,All,Lattice,0.2,2,413,NOLAB,1,7,1,6,0,1
20,All,Lattice,0.2,2,413,NOLAB,6,32,1,5,0,27
21,All,Lattice,0.2,2,413,NOLAB,19,44,1,6,0,38
22,All,Lattice,0.2,2,413,NOLAB,7,35,1,5,0,30
23,All,Lattice,0.2,2,413,NOLAB,12,41,1,5,0,36
24,All,Lattice,0.2,2,413,NOLAB,19,76,1,6,0,70
25,All,Lattice,0.2,2,413,NOLAB,6,32,1,6,0,26
26,All,Lattice,0.2,2,413,NOLAB,15,53,1,5,0,48
27,All,Lattice,0.2,2,413,NOLAB,1,5,1,4,0,1
28,All,Lattice,0.2,2,413,NOLAB,6,17,1,6,0,11
29,All,Lattice,0.2,2,413,NOLAB,3,19,1,6,0,13
30,All,Lattice,0.2,2,413,NOLAB,7,32,1,5,0,27
31,All,Lattice,0.2,2,413,NOLAB,6,22,1,6,0,16
32,All,Lattice,0.2,2,413,NOLAB,4,20,1,5,0,15
33,All,Lattice,0.2,2,413,NOLAB,13,38,1,5,0,33
34,All,Lattice,0.2,2,413,NOLAB,12,59,1,5,0,54
35,All,Lattice,0.2,2,413,NOLAB,9,29,1,5,0,24
36,All,Lattice,0.2,2,413,NOLAB,31,120,1,6,0,114
37,All,Lattice,0.2,2,413,NOLAB,19,78,1,4,0,74
38,All,Lattice,0.2,2,413,NOLAB,12,33,1,4,0,29
39,All,Lattice,0.2,2,413,NOLAB,14,58,1,5,0,53
40,All,Lattice,0.2,2,413,NOLAB,21,71,1,5,0,66
41,All,Lattice,0.2,2,413,NOLAB,4,10,1,6,0,4
42,All,Lattice,0.2,2,413,NOLAB,27,77,1,5,0,72
43,All,Lattice,0.2,2,413,NOLAB,6,22,1,5,0,17
44,All,Lattice,0.2,2,413,NOLAB,7,26,1,5,0,21
45,All,Lattice,0.2,2,413,NOLAB,3,14,1,6,0,8
46,All,Lattice,0.2,2,413,NOLAB,41,121,1,5,0,116
47,All,Lattice,0.2,2,413,NOLAB,11,42,1,5,0,37
48,All,Lattice,0.2,2,413,NOLAB,2,11,1,4,0,7
49,All,Lattice,0.2,2,413,NOLAB,3,19,1,6,0,13
50,All,Lattice,0.2,2,413,NOLAB,8,30,1,5,0,25
1,All,Lattice,0.2,7,413,COLAB,17,92,1,5,0,87
2,All,Lattice,0.2,7,413,COLAB,23,112,1,6,0,106
3,All,Lattice,0.2,7,413,COLAB,8,28,1,6,0,22
4,All,Lattice,0.2,7,413,COLAB,26,125,1,6,0,119
5,All,Lattice,0.2,7,413,COLAB,3,13,1,5,0,8
6,All,Lattice,0.2,7,413,COLAB,17,76,1,6,0,70
7,All,Lattice,0.2,7,413,COLAB,24,129,1,5,0,124
8,All,Lattice,0.2,7,413,COLAB,30,116,1,5,0,111
9,All,Lattice,0.2,7,413,COLAB,29,176,10,7,9,164.5
10,All,Lattice,0.2,7,413,COLAB,6,29,10,6,9,18.5
11,All,Lattice,0.2,7,413,COLAB,42,166,1,5,0,161
12,All,Lattice,0.2,7,413,COLAB,23,107,10,7,9,95.5
13,All,Lattice,0.2,7,413,COLAB,7,34,1,4,0,30
14,All,Lattice,0.2,7,413,COLAB,7,39,10,5,9,29.5
15,All,Lattice,0.2,7,413,COLAB,17,95,1,5,0,90
16,All,Lattice,0.2,7,413,COLAB,5,53,10,5,9,43.5
17,All,Lattice,0.2,7,413,COLAB,18,81,1,5,0,76
18,All,Lattice,0.2,7,413,COLAB,24,100,1,4,0,96
19,All,Lattice,0.2,7,413,COLAB,28,126,10,8,9,113.5
20,All,Lattice,0.2,7,413,COLAB,23,92,1,5,0,87
21,All,Lattice,0.2,7,413,COLAB,25,133,1,5,0,128
22,All,Lattice,0.2,7,413,COLAB,15,74,10,9,9,60.5
23,All,Lattice,0.2,7,413,COLAB,23,82,1,6,0,76
24,All,Lattice,0.2,7,413,COLAB,1,6,1,5,0,1
25,All,Lattice,0.2,7,413,COLAB,9,28,1,5,0,23
26,All,Lattice,0.2,7,413,COLAB,2,7,1,5,0,2
27,All,Lattice,0.2,7,413,COLAB,23,118,1,6,0,112
28,All,Lattice,0.2,7,413,COLAB,4,8,1,4,0,4
29,All,Lattice,0.2,7,413,COLAB,45,212,1,5,0,207
30,All,Lattice,0.2,7,413,COLAB,10,67,1,6,0,61
31,All,Lattice,0.2,7,413,COLAB,16,97,1,5,0,92
32,All,Lattice,0.2,7,413,COLAB,29,82,1,4,0,78
33,All,Lattice,0.2,7,413,COLAB,14,34,1,5,0,29
34,All,Lattice,0.2,7,413,COLAB,30,116,1,5,0,111
35,All,Lattice,0.2,7,413,COLAB,17,74,1,5,0,69
36,All,Lattice,0.2,7,413,COLAB,1,6,1,5,0,1
37,All,Lattice,0.2,7,413,COLAB,3,8,1,5,0,3
38,All,Lattice,0.2,7,413,COLAB,25,85,1,6,0,79
39,All,Lattice,0.2,7,413,COLAB,17,77,1,4,0,73
40,All,Lattice,0.2,7,413,COLAB,14,59,10,6,9,48.5
41,All,Lattice,0.2,7,413,COLAB,31,149,1,5,0,144
42,All,Lattice,0.2,7,413,COLAB,52,259,1,4,0,255
43,All,Lattice,0.2,7,413,COLAB,18,69,1,5,0,64
44,All,Lattice,0.2,7,413,COLAB,23,159,1,6,0,153
45,All,Lattice,0.2,7,413,COLAB,1,18,10,8,9,5.5
46,All,Lattice,0.2,7,413,COLAB,18,92,1,5,0,87
47,All,Lattice,0.2,7,413,COLAB,30,119,1,6,0,113
48,All,Lattice,0.2,7,413,COLAB,5,24,1,5,0,19
49,All,Lattice,0.2,7,413,COLAB,16,62,1,5,0,57
50,All,Lattice,0.2,7,413,COLAB,32,131,1,4,0,127
1,All,Lattice,0.2,7,413,NOLAB,30,120,1,6,0,114
2,All,Lattice,0.2,7,413,NOLAB,8,27,1,4,0,23
3,All,Lattice,0.2,7,413,NOLAB,8,28,1,6,0,22
4,All,Lattice,0.2,7,413,NOLAB,22,69,1,4,0,65
5,All,Lattice,0.2,7,413,NOLAB,3,13,1,5,0,8
6,All,Lattice,0.2,7,413,NOLAB,18,59,1,5,0,54
7,All,Lattice,0.2,7,413,NOLAB,39,116,1,6,0,110
8,All,Lattice,0.2,7,413,NOLAB,21,77,1,4,0,73
9,All,Lattice,0.2,7,413,NOLAB,51,158,1,6,0,152
10,All,Lattice,0.2,7,413,NOLAB,10,27,1,5,0,22
11,All,Lattice,0.2,7,413,NOLAB,56,190,1,5,0,185
12,All,Lattice,0.2,7,413,NOLAB,13,45,1,6,0,39
13,All,Lattice,0.2,7,413,NOLAB,7,34,1,4,0,30
14,All,Lattice,0.2,7,413,NOLAB,13,48,1,5,0,43
15,All,Lattice,0.2,7,413,NOLAB,9,40,1,4,0,36
16,All,Lattice,0.2,7,413,NOLAB,17,59,1,5,0,54
17,All,Lattice,0.2,7,413,NOLAB,10,44,1,6,0,38
18,All,Lattice,0.2,7,413,NOLAB,11,31,1,5,0,26
19,All,Lattice,0.2,7,413,NOLAB,3,14,1,6,0,8
20,All,Lattice,0.2,7,413,NOLAB,9,24,1,5,0,19
21,All,Lattice,0.2,7,413,NOLAB,20,80,1,5,0,75
22,All,Lattice,0.2,7,413,NOLAB,24,102,1,5,0,97
23,All,Lattice,0.2,7,413,NOLAB,23,82,1,6,0,76
24,All,Lattice,0.2,7,413,NOLAB,1,6,1,5,0,1
25,All,Lattice,0.2,7,413,NOLAB,9,28,1,5,0,23
26,All,Lattice,0.2,7,413,NOLAB,2,7,1,5,0,2
27,All,Lattice,0.2,7,413,NOLAB,34,120,1,4,0,116
28,All,Lattice,0.2,7,413,NOLAB,4,8,1,4,0,4
29,All,Lattice,0.2,7,413,NOLAB,16,57,1,5,0,52
30,All,Lattice,0.2,7,413,NOLAB,26,87,1,5,0,82
31,All,Lattice,0.2,7,413,NOLAB,18,74,1,5,0,69
32,All,Lattice,0.2,7,413,NOLAB,34,108,1,6,0,102
33,All,Lattice,0.2,7,413,NOLAB,14,34,1,5,0,29
34,All,Lattice,0.2,7,413,NOLAB,21,77,1,4,0,73
35,All,Lattice,0.2,7,413,NOLAB,18,67,1,6,0,61
36,All,Lattice,0.2,7,413,NOLAB,1,6,1,5,0,1
37,All,Lattice,0.2,7,413,NOLAB,3,8,1,5,0,3
38,All,Lattice,0.2,7,413,NOLAB,20,65,1,5,0,60
39,All,Lattice,0.2,7,413,NOLAB,13,36,1,4,0,32
40,All,Lattice,0.2,7,413,NOLAB,19,73,1,5,0,68
41,All,Lattice,0.2,7,413,NOLAB,9,30,1,5,0,25
42,All,Lattice,0.2,7,413,NOLAB,42,145,1,4,0,141
43,All,Lattice,0.2,7,413,NOLAB,5,10,1,5,0,5
44,All,Lattice,0.2,7,413,NOLAB,26,64,1,6,0,58
45,All,Lattice,0.2,7,413,NOLAB,1,6,1,5,0,1
46,All,Lattice,0.2,7,413,NOLAB,28,99,1,5,0,94
47,All,Lattice,0.2,7,413,NOLAB,26,99,1,6,0,93
48,All,Lattice,0.2,7,413,NOLAB,4,20,1,5,0,15
49,All,Lattice,0.2,7,413,NOLAB,22,66,1,5,0,61
50,All,Lattice,0.2,7,413,NOLAB,4,19,1,3,0,16
1,All,Lattice,0.2,13,484,COLAB,1,9,1,8,0,1
2,All,Lattice,0.2,13,484,COLAB,3,10,1,7,0,3
3,All,Lattice,0.2,13,484,COLAB,29,112,1,7,0,105
4,All,Lattice,0.2,13,484,COLAB,43,210,1,7,0,203
5,All,Lattice,0.2,13,484,COLAB,3,19,1,8,0,11
6,All,Lattice,0.2,13,484,COLAB,3,27,1,7,0,20
7,All,Lattice,0.2,13,484,COLAB,6,29,1,8,0,21
8,All,Lattice,0.2,13,484,COLAB,9,30,1,7,0,23
9,All,Lattice,0.2,13,484,COLAB,3,17,1,6,0,11
10,All,Lattice,0.2,13,484,COLAB,1,8,1,7,0,1
11,All,Lattice,0.2,13,484,COLAB,28,131,1,6,0,125
12,All,Lattice,0.2,13,484,COLAB,17,77,10,9,9,63.5
13,All,Lattice,0.2,13,484,COLAB,19,119,1,6,0,113
14,All,Lattice,0.2,13,484,COLAB,7,26,1,7,0,19
15,All,Lattice,0.2,13,484,COLAB,2,21,10,10,9,6.5
16,All,Lattice,0.2,13,484,COLAB,19,36,1,7,0,29
17,All,Lattice,0.2,13,484,COLAB,32,171,1,7,0,164
18,All,Lattice,0.2,13,484,COLAB,13,89,10,5,9,79.5
19,All,Lattice,0.2,13,484,COLAB,25,137,10,10,9,122.5
20,All,Lattice,0.2,13,484,COLAB,9,38,1,7,0,31
21,All,Lattice,0.2,13,484,COLAB,8,56,1,7,0,49
22,All,Lattice,0.2,13,484,COLAB,5,20,1,7,0,13
23,All,Lattice,0.2,13,484,COLAB,10,44,1,6,0,38
24,All,Lattice,0.2,13,484,COLAB,38,222,10,8,9,209.5
25,All,Lattice,0.2,13,484,COLAB,1,9,1,8,0,1
26,All,Lattice,0.2,13,484,COLAB,5,20,1,8,0,12
27,All,Lattice,0.2,13,484,COLAB,15,95,1,6,0,89
28,All,Lattice,0.2,13,484,COLAB,21,105,1,7,0,98
29,All,Lattice,0.2,13,484,COLAB,6,57,10,6,9,46.5
30,All,Lattice,0.2,13,484,COLAB,2,9,1,7,0,2
31,All,Lattice,0.2,13,484,COLAB,26,134,1,6,0,128
32,All,Lattice,0.2,13,484,COLAB,5,27,1,7,0,20
33,All,Lattice,0.2,13,484,COLAB,14,150,10,11,9,134.5
34,All,Lattice,0.2,13,484,COLAB,9,30,1,7,0,23
35,All,Lattice,0.2,13,484,COLAB,17,71,1,8,0,63
36,All,Lattice,0.2,13,484,COLAB,5,25,1,7,0,18
37,All,Lattice,0.2,13,484,COLAB,4,43,1,8,0,35
38,All,Lattice,0.2,13,484,COLAB,10,56,10,9,9,42.5
39,All,Lattice,0.2,13,484,COLAB,2,10,1,8,0,2
40,All,Lattice,0.2,13,484,COLAB,10,49,1,8,0,41
41,All,Lattice,0.2,13,484,COLAB,6,36,1,6,0,30
42,All,Lattice,0.2,13,484,COLAB,4,52,1,8,0,44
43,All,Lattice,0.2,13,484,COLAB,2,8,1,6,0,2
44,All,Lattice,0.2,13,484,COLAB,15,56,1,7,0,49
45,All,Lattice,0.2,13,484,COLAB,1,8,1,7,0,1
46,All,Lattice,0.2,13,484,COLAB,4,25,1,5,0,20
47,All,Lattice,0.2,13,484,COLAB,6,43,10,9,9,29.5
48,All,Lattice,0.2,13,484,COLAB,10,57,1,7,0,50
49,All,Lattice,0.2,13,484,COLAB,23,129,1,6,0,123
50,All,Lattice,0.2,13,484,COLAB,23,105,1,7,0,98
1,All,Lattice,0.2,13,484,NOLAB,1,9,1,8,0,1
2,All,Lattice,0.2,13,484,NOLAB,3,10,1,7,0,3
3,All,Lattice,0.2,13,484,NOLAB,10,36,1,7,0,29
4,All,Lattice,0.2,13,484,NOLAB,14,63,1,6,0,57
5,All,Lattice,0.2,13,484,NOLAB,3,19,1,8,0,11
6,All,Lattice,0.2,13,484,NOLAB,18,57,1,7,0,50
7,All,Lattice,0.2,13,484,NOLAB,6,29,1,8,0,21
8,All,Lattice,0.2,13,484,NOLAB,9,30,1,7,0,23
9,All,Lattice,0.2,13,484,NOLAB,3,17,1,6,0,11
10,All,Lattice,0.2,13,484,NOLAB,1,8,1,7,0,1
11,All,Lattice,0.2,13,484,NOLAB,31,134,1,8,0,126
12,All,Lattice,0.2,13,484,NOLAB,23,98,1,8,0,90
13,All,Lattice,0.2,13,484,NOLAB,23,92,1,7,0,85
14,All,Lattice,0.2,13,484,NOLAB,7,26,1,7,0,19
15,All,Lattice,0.2,13,484,NOLAB,11,46,1,7,0,39
16,All,Lattice,0.2,13,484,NOLAB,19,36,1,7,0,29
17,All,Lattice,0.2,13,484,NOLAB,8,37,1,8,0,29
18,All,Lattice,0.2,13,484,NOLAB,16,86,1,7,0,79
19,All,Lattice,0.2,13,484,NOLAB,28,154,1,7,0,147
20,All,Lattice,0.2,13,484,NOLAB,9,38,1,7,0,31
21,All,Lattice,0.2,13,484,NOLAB,27,109,1,8,0,101
22,All,Lattice,0.2,13,484,NOLAB,5,20,1,7,0,13
23,All,Lattice,0.2,13,484,NOLAB,10,44,1,6,0,38
24,All,Lattice,0.2,13,484,NOLAB,28,123,1,8,0,115
25,All,Lattice,0.2,13,484,NOLAB,1,9,1,8,0,1
26,All,Lattice,0.2,13,484,NOLAB,5,20,1,8,0,12
27,All,Lattice,0.2,13,484,NOLAB,16,56,1,6,0,50
28,All,Lattice,0.2,13,484,NOLAB,21,105,1,7,0,98
29,All,Lattice,0.2,13,484,NOLAB,16,77,1,7,0,70
30,All,Lattice,0.2,13,484,NOLAB,2,9,1,7,0,2
31,All,Lattice,0.2,13,484,NOLAB,26,134,1,6,0,128
32,All,Lattice,0.2,13,484,NOLAB,14,43,1,7,0,36
33,All,Lattice,0.2,13,484,NOLAB,15,63,1,7,0,56
34,All,Lattice,0.2,13,484,NOLAB,9,30,1,7,0,23
35,All,Lattice,0.2,13,484,NOLAB,17,71,1,8,0,63
36,All,Lattice,0.2,13,484,NOLAB,19,90,1,8,0,82
37,All,Lattice,0.2,13,484,NOLAB,21,99,1,7,0,92
38,All,Lattice,0.2,13,484,NOLAB,19,83,1,8,0,75
39,All,Lattice,0.2,13,484,NOLAB,2,10,1,8,0,2
40,All,Lattice,0.2,13,484,NOLAB,10,49,1,8,0,41
41,All,Lattice,0.2,13,484,NOLAB,3,17,1,7,0,10
42,All,Lattice,0.2,13,484,NOLAB,8,36,1,7,0,29
43,All,Lattice,0.2,13,484,NOLAB,2,8,1,6,0,2
44,All,Lattice,0.2,13,484,NOLAB,15,56,1,7,0,49
45,All,Lattice,0.2,13,484,NOLAB,1,8,1,7,0,1
46,All,Lattice,0.2,13,484,NOLAB,23,108,1,7,0,101
47,All,Lattice,0.2,13,484,NOLAB,36,214,1,8,0,206
48,All,Lattice,0.2,13,484,NOLAB,7,39,1,6,0,33
49,All,Lattice,0.2,13,484,NOLAB,24,96,1,6,0,90
50,All,Lattice,0.2,13,484,NOLAB,57,273,1,6,0,267
1,All,Lattice,0.2,2,484,COLAB,10,70,1,8,0,62
