replica,network,population,true_model,sigma,net_size,colab_cond,TAT50
2,Lattice,All,2,0.2,413,COLAB,0.9194451853827688
3,Lattice,All,2,0.2,413,COLAB,0.9037690457097033
4,Lattice,All,2,0.2,413,COLAB,0.9394100451767207
5,Lattice,All,2,0.2,413,COLAB,0.9461907298881194
6,Lattice,All,2,0.2,413,COLAB,0.9158402573036719
7,Lattice,All,2,0.2,413,COLAB,0.9174611822391718
8,Lattice,All,2,0.2,413,COLAB,0.927477840451249
9,Lattice,All,2,0.2,413,COLAB,0.9129236704326261
10,Lattice,All,2,0.2,413,COLAB,0.9175452825087862
11,Lattice,All,2,0.2,413,COLAB,0.8960621484061077
12,Lattice,All,2,0.2,413,COLAB,0.9056503198294243
13,Lattice,All,2,0.2,413,COLAB,0.9164899257688229
14,Lattice,All,2,0.2,413,COLAB,0.940959409594096
15,Lattice,All,2,0.2,413,COLAB,0.906300053390283
16,Lattice,All,2,0.2,413,COLAB,0.916578947368421
17,Lattice,All,2,0.2,413,COLAB,0.9022941970310392
18,Lattice,All,2,0.2,413,COLAB,0.9084107327141383
19,Lattice,All,2,0.2,413,COLAB,0.9097095001308558
20,Lattice,All,2,0.2,413,COLAB,0.9322731011790513
21,Lattice,All,2,0.2,413,COLAB,0.918245804006497
22,Lattice,All,2,0.2,413,COLAB,0.9181578947368421
23,Lattice,All,2,0.2,413,COLAB,0.9171887769000272
24,Lattice,All,2,0.2,413,COLAB,0.9199785177228786
25,Lattice,All,2,0.2,413,COLAB,0.9304229195088677
26,Lattice,All,2,0.2,413,COLAB,0.9161307609860665
27,Lattice,All,2,0.2,413,COLAB,0.8878169790518192
28,Lattice,All,2,0.2,413,COLAB,0.9297225891677675
29,Lattice,All,2,0.2,413,COLAB,0.9332803812549643
30,Lattice,All,2,0.2,413,COLAB,0.9011675264729839
31,Lattice,All,2,0.2,413,COLAB,0.904504990558403
32,Lattice,All,2,0.2,413,COLAB,0.9160467587672688
33,Lattice,All,2,0.2,413,COLAB,0.8903242815713156
34,Lattice,All,2,0.2,413,COLAB,0.927477840451249
35,Lattice,All,2,0.2,413,COLAB,0.9221158958001063
36,Lattice,All,2,0.2,413,COLAB,0.9303913842920936
37,Lattice,All,2,0.2,413,COLAB,0.9171754711972392
38,Lattice,All,2,0.2,413,COLAB,0.9155996864384636
39,Lattice,All,2,0.2,413,COLAB,0.9052744886975242
40,Lattice,All,2,0.2,413,COLAB,0.9208002192381475
41,Lattice,All,2,0.2,413,COLAB,0.9213573929437113
42,Lattice,All,2,0.2,413,COLAB,0.9431635388739946
43,Lattice,All,2,0.2,413,COLAB,0.9227642276422764
44,Lattice,All,2,0.2,413,COLAB,0.9358178053830227
45,Lattice,All,2,0.2,413,COLAB,0.9374490073429426
46,Lattice,All,2,0.2,413,COLAB,0.9484702093397746
47,Lattice,All,2,0.2,413,COLAB,0.8991507430997877
48,Lattice,All,2,0.2,413,COLAB,0.9112881806108898
49,Lattice,All,2,0.2,413,COLAB,0.9356410256410257
50,Lattice,All,2,0.2,413,COLAB,0.9351925630810093
1,Lattice,All,2,0.2,413,NOLAB,0.9409058740268932
2,Lattice,All,2,0.2,413,NOLAB,0.9354668542289432
3,Lattice,All,2,0.2,413,NOLAB,0.937879810938555
4,Lattice,All,2,0.2,413,NOLAB,0.9432225063938618
5,Lattice,All,2,0.2,413,NOLAB,0.9354838709677419
6,Lattice,All,2,0.2,413,NOLAB,0.9250785888927698
7,Lattice,All,2,0.2,413,NOLAB,0.9358631747728487
8,Lattice,All,2,0.2,413,NOLAB,0.9390223130642139
9,Lattice,All,2,0.2,413,NOLAB,0.9372377622377622
10,Lattice,All,2,0.2,413,NOLAB,0.9430659415363698
11,Lattice,All,2,0.2,413,NOLAB,0.9385873347251218
12,Lattice,All,2,0.2,413,NOLAB,0.9286821705426357
13,Lattice,All,2,0.2,413,NOLAB,0.9337463431423163
14,Lattice,All,2,0.2,413,NOLAB,0.9468483816013629
15,Lattice,All,2,0.2,413,NOLAB,0.9405377456049638
16,Lattice,All,2,0.2,413,NOLAB,0.9324300545486539
17,Lattice,All,2,0.2,413,NOLAB,0.94350080457715
18,Lattice,All,2,0.2,413,NOLAB,0.9507941988950276
19,Lattice,All,2,0.2,413,NOLAB,0.9389753453400944
20,Lattice,All,2,0.2,413,NOLAB,0.9419534237052485
21,Lattice,All,2,0.2,413,NOLAB,0.9340640809443508
22,Lattice,All,2,0.2,413,NOLAB,0.9287169042769857
23,Lattice,All,2,0.2,413,NOLAB,0.935546875
24,Lattice,All,2,0.2,413,NOLAB,0.9324798316380217
25,Lattice,All,2,0.2,413,NOLAB,0.914341567442687
26,Lattice,All,2,0.2,413,NOLAB,0.9362970533128939
27,Lattice,All,2,0.2,413,NOLAB,0.930837789661319
28,Lattice,All,2,0.2,413,NOLAB,0.9350199272223185
29,Lattice,All,2,0.2,413,NOLAB,0.9307201458523245
30,Lattice,All,2,0.2,413,NOLAB,0.9205389531870789
31,Lattice,All,2,0.2,413,NOLAB,0.9493111073311787
32,Lattice,All,2,0.2,413,NOLAB,0.9502294387575009
33,Lattice,All,2,0.2,413,NOLAB,0.9337737127371274
34,Lattice,All,2,0.2,413,NOLAB,0.9390223130642139
35,Lattice,All,2,0.2,413,NOLAB,0.9502470608280797
36,Lattice,All,2,0.2,413,NOLAB,0.922237860661506
37,Lattice,All,2,0.2,413,NOLAB,0.9344749257382492
38,Lattice,All,2,0.2,413,NOLAB,0.9504032950060065
39,Lattice,All,2,0.2,413,NOLAB,0.9386056191467221
40,Lattice,All,2,0.2,413,NOLAB,0.9325842696629213
41,Lattice,All,2,0.2,413,NOLAB,0.9453398738612474
42,Lattice,All,2,0.2,413,NOLAB,0.9102767495152476
43,Lattice,All,2,0.2,413,NOLAB,0.9378336490442569
44,Lattice,All,2,0.2,413,NOLAB,0.9533987386124737
45,Lattice,All,2,0.2,413,NOLAB,0.9406110538963268
46,Lattice,All,2,0.2,413,NOLAB,0.9480765913403485
47,Lattice,All,2,0.2,413,NOLAB,0.9296534912066864
48,Lattice,All,2,0.2,413,NOLAB,0.9630952380952381
49,Lattice,All,2,0.2,413,NOLAB,0.9454638998456526
50,Lattice,All,2,0.2,413,NOLAB,0.9454327745466986
1,Lattice,All,7,0.2,413,COLAB,0.8957055214723927
2,Lattice,All,7,0.2,413,COLAB,0.9188229325215627
3,Lattice,All,7,0.2,413,COLAB,0.8955844155844156
4,Lattice,All,7,0.2,413,COLAB,0.9035833977829337
5,Lattice,All,7,0.2,413,COLAB,0.8638700947225981
6,Lattice,All,7,0.2,413,COLAB,0.8592910848549946
7,Lattice,All,7,0.2,413,COLAB,0.91
8,Lattice,All,7,0.2,413,COLAB,0.8599460387539858
9,Lattice,All,7,0.2,413,COLAB,0.8576218725818933
10,Lattice,All,7,0.2,413,COLAB,0.8713178294573644
11,Lattice,All,7,0.2,413,COLAB,0.8861641713990708
12,Lattice,All,7,0.2,413,COLAB,0.9147183846971307
13,Lattice,All,7,0.2,413,COLAB,0.8972873321042929
14,Lattice,All,7,0.2,413,COLAB,0.9186778593913956
15,Lattice,All,7,0.2,413,COLAB,0.9083311569600417
16,Lattice,All,7,0.2,413,COLAB,0.9046052631578947
17,Lattice,All,7,0.2,413,COLAB,0.9031847133757962
18,Lattice,All,7,0.2,413,COLAB,0.9028851107676455
19,Lattice,All,7,0.2,413,COLAB,0.8904
20,Lattice,All,7,0.2,413,COLAB,0.8746475262753141
21,Lattice,All,7,0.2,413,COLAB,0.8760477520955042
22,Lattice,All,7,0.2,413,COLAB,0.8848181338956247
23,Lattice,All,7,0.2,413,COLAB,0.8683724610920601
24,Lattice,All,7,0.2,413,COLAB,0.913032389696506
25,Lattice,All,7,0.2,413,COLAB,0.9170554691550026
26,Lattice,All,7,0.2,413,COLAB,0.9253960143076136
27,Lattice,All,7,0.2,413,COLAB,0.9287620064034151
28,Lattice,All,7,0.2,413,COLAB,0.9297845373891002
29,Lattice,All,7,0.2,413,COLAB,0.8970474967907573
30,Lattice,All,7,0.2,413,COLAB,0.9107234479220113
31,Lattice,All,7,0.2,413,COLAB,0.8962793068297655
32,Lattice,All,7,0.2,413,COLAB,0.9040683073832245
33,Lattice,All,7,0.2,413,COLAB,0.9265690895559414
34,Lattice,All,7,0.2,413,COLAB,0.8599460387539858
35,Lattice,All,7,0.2,413,COLAB,0.9324081213055769
36,Lattice,All,7,0.2,413,COLAB,0.9072058061171592
37,Lattice,All,7,0.2,413,COLAB,0.8993357179356157
38,Lattice,All,7,0.2,413,COLAB,0.8957273652085452
39,Lattice,All,7,0.2,413,COLAB,0.9200715015321757
40,Lattice,All,7,0.2,413,COLAB,0.900024931438544
41,Lattice,All,7,0.2,413,COLAB,0.8946085071796261
42,Lattice,All,7,0.2,413,COLAB,0.8601831896551724
43,Lattice,All,7,0.2,413,COLAB,0.8844455985458323
44,Lattice,All,7,0.2,413,COLAB,0.8881302521008403
45,Lattice,All,7,0.2,413,COLAB,0.898157625383828
46,Lattice,All,7,0.2,413,COLAB,0.8648993117512108
47,Lattice,All,7,0.2,413,COLAB,0.8847583643122676
48,Lattice,All,7,0.2,413,COLAB,0.895112016293279
49,Lattice,All,7,0.2,413,COLAB,0.9152100182624576
50,Lattice,All,7,0.2,413,COLAB,0.8709514170040485
1,Lattice,All,7,0.2,413,NOLAB,0.8956755847215211
2,Lattice,All,7,0.2,413,NOLAB,0.9162619326745939
3,Lattice,All,7,0.2,413,NOLAB,0.9339144215530903
4,Lattice,All,7,0.2,413,NOLAB,0.9204923486360612
5,Lattice,All,7,0.2,413,NOLAB,0.9249050998514606
6,Lattice,All,7,0.2,413,NOLAB,0.9205569205569205
7,Lattice,All,7,0.2,413,NOLAB,0.9290815479156286
8,Lattice,All,7,0.2,413,NOLAB,0.8960973137354283
9,Lattice,All,7,0.2,413,NOLAB,0.8990840430660453
10,Lattice,All,7,0.2,413,NOLAB,0.881092933040985
11,Lattice,All,7,0.2,413,NOLAB,0.9351806838437855
12,Lattice,All,7,0.2,413,NOLAB,0.9079434533826994
13,Lattice,All,7,0.2,413,NOLAB,0.9342062722276108
14,Lattice,All,7,0.2,413,NOLAB,0.9180272681366773
15,Lattice,All,7,0.2,413,NOLAB,0.9159248269040554
16,Lattice,All,7,0.2,413,NOLAB,0.9298480040086855
17,Lattice,All,7,0.2,413,NOLAB,0.913732097725358
18,Lattice,All,7,0.2,413,NOLAB,0.9018158444480154
19,Lattice,All,7,0.2,413,NOLAB,0.9143284077702142
20,Lattice,All,7,0.2,413,NOLAB,0.9387787981311423
21,Lattice,All,7,0.2,413,NOLAB,0.9458246513864401
22,Lattice,All,7,0.2,413,NOLAB,0.9399221526485023
23,Lattice,All,7,0.2,413,NOLAB,0.9194139194139194
24,Lattice,All,7,0.2,413,NOLAB,0.9152041987862883
25,Lattice,All,7,0.2,413,NOLAB,0.9259559300064809
26,Lattice,All,7,0.2,413,NOLAB,0.9366219667943806
27,Lattice,All,7,0.2,413,NOLAB,0.9278401585204755
28,Lattice,All,7,0.2,413,NOLAB,0.9309566059041781
29,Lattice,All,7,0.2,413,NOLAB,0.9024310118265441
30,Lattice,All,7,0.2,413,NOLAB,0.8949141124957898
31,Lattice,All,7,0.2,413,NOLAB,0.9171617161716171
32,Lattice,All,7,0.2,413,NOLAB,0.9282630355363667
33,Lattice,All,7,0.2,413,NOLAB,0.9313676495085791
34,Lattice,All,7,0.2,413,NOLAB,0.8960973137354283
35,Lattice,All,7,0.2,413,NOLAB,0.9004576659038902
36,Lattice,All,7,0.2,413,NOLAB,0.9106209150326797
37,Lattice,All,7,0.2,413,NOLAB,0.9213390501319261
38,Lattice,All,7,0.2,413,NOLAB,0.9254638515674984
39,Lattice,All,7,0.2,413,NOLAB,0.9405778069599475
40,Lattice,All,7,0.2,413,NOLAB,0.9262830990519778
41,Lattice,All,7,0.2,413,NOLAB,0.9129431162407254
42,Lattice,All,7,0.2,413,NOLAB,0.9333223575897267
43,Lattice,All,7,0.2,413,NOLAB,0.911042944785276
44,Lattice,All,7,0.2,413,NOLAB,0.9289122922494651
45,Lattice,All,7,0.2,413,NOLAB,0.9146701673777486
46,Lattice,All,7,0.2,413,NOLAB,0.9247172859450727
47,Lattice,All,7,0.2,413,NOLAB,0.9122982193376602
48,Lattice,All,7,0.2,413,NOLAB,0.9269568151147098
49,Lattice,All,7,0.2,413,NOLAB,0.9159622078567876
50,Lattice,All,7,0.2,413,NOLAB,0.9133355727242191
1,Lattice,All,13,0.2,484,COLAB,0.918851087562744
2,Lattice,All,13,0.2,484,COLAB,0.8956265092567749
