replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
30,Lattice,All,13,0.2,413,NOLAB,0.8380207554494336,0.9357769906052672
31,Lattice,All,13,0.2,413,NOLAB,0.836450025062134,0.9347892956013534
32,Lattice,All,13,0.2,413,NOLAB,0.8442632108982083,0.9329513781356457
33,Lattice,All,13,0.2,413,NOLAB,0.8235491581371784,0.9372593068035944
34,Lattice,All,13,0.2,413,NOLAB,0.8492636843567658,0.9473284760170007
35,Lattice,All,13,0.2,413,NOLAB,0.8482604115852643,0.959339651482727
36,Lattice,All,13,0.2,413,NOLAB,0.8444120360111517,0.9530252356339313
37,Lattice,All,13,0.2,413,NOLAB,0.8430794909462356,0.9457906182044113
38,Lattice,All,13,0.2,413,NOLAB,0.8291439851415346,0.9357429718875502
39,Lattice,All,13,0.2,413,NOLAB,0.8395717173512229,0.9491525423728814
40,Lattice,All,13,0.2,413,NOLAB,0.83895915636549,0.9367167919799498
41,Lattice,All,13,0.2,413,NOLAB,0.834918822158928,0.9332493702770781
42,Lattice,All,13,0.2,413,NOLAB,0.8452794603323397,0.9420670477367526
43,Lattice,All,13,0.2,413,NOLAB,0.8284676913292183,0.9477207523111253
44,Lattice,All,13,0.2,413,NOLAB,0.8413144828311093,0.9369298521547657
45,Lattice,All,13,0.2,413,NOLAB,0.8286830042617312,0.923040380047506
46,Lattice,All,13,0.2,413,NOLAB,0.8474268979866865,0.9451070336391437
47,Lattice,All,13,0.2,413,NOLAB,0.8240282435983493,0.9270882865747345
48,Lattice,All,13,0.2,413,NOLAB,0.8444030487629883,0.9422956955708047
49,Lattice,All,13,0.2,413,NOLAB,0.8436295264247162,0.9424270639354438
50,Lattice,All,13,0.2,413,NOLAB,0.8610240600823288,0.9586176208840107
1,Lattice,All,2,0.2,413,COLAB,0.8193538395288839,0.9360374414976599
2,Lattice,All,2,0.2,413,COLAB,0.8171438130071167,0.9194451853827688
3,Lattice,All,2,0.2,413,COLAB,0.7978916955171831,0.9037690457097033
4,Lattice,All,2,0.2,413,COLAB,0.8175075396414303,0.9394100451767207
5,Lattice,All,2,0.2,413,COLAB,0.8283438746854042,0.9461907298881194
6,Lattice,All,2,0.2,413,COLAB,0.8078204792903901,0.9158402573036719
7,Lattice,All,2,0.2,413,COLAB,0.8012621667239399,0.9174611822391718
8,Lattice,All,2,0.2,413,COLAB,0.8124699612837938,0.927477840451249
